Fecha,Tmax,Tmin,PP
2021-01-01,15.5,5.4,21.3
2021-01-02,15.7,6.6,11.7
2021-01-03,17.7,4.3,8.5
2021-01-04,15.9,8.6,0.0
2021-01-05,13.7,2.7,0.0
2021-01-06,11.7,2.6,0.0
2021-01-07,14.5,2.5,0.0
2021-01-08,14.6,6.8,12.1
2021-01-09,15.4,7.7,6.7
2021-01-10,17.4,6.6,0.0
2021-01-11,18.5,2.8,0.0
2021-01-12,18.4,3.7,3.7
2021-01-13,17.5,6.5,13.4
2021-01-14,16.4,6.3,14.4
2021-01-15,14.4,9.0,24.9
2021-01-16,11.9,8.1,19.8
2021-01-17,16.1,8.2,15.7
2021-01-18,14.2,9.3,4.7
2021-01-19,15.4,8.2,2.9
2021-01-20,13.8,8.9,24.5
2021-01-21,14.3,8.3,26.4
2021-01-22,15.7,6.8,5.9
2021-01-23,15.2,5.0,0.0
2021-01-24,16.3,4.7,7.8
2021-01-25,16.5,6.8,0.0
2021-01-26,12.8,8.8,14.0
2021-01-27,14.7,7.9,30.1
2021-01-28,16.3,8.5,5.1
2021-01-29,16.6,9.3,8.7
2021-01-30,17.2,5.3,0.0
2021-01-31,17.8,5.2,0.0
2021-02-01,18.5,2.6,5.6
2021-02-02,17.3,4.5,14.0
2021-02-03,19.0,5.0,0.0
2021-02-04,19.5,4.8,19.3
2021-02-05,17.6,7.5,7.2
2021-02-06,18.0,6.6,3.1
2021-02-07,17.8,5.5,39.3
2021-02-08,17.9,4.1,0.0
2021-02-09,18.6,3.9,0.0
2021-02-10,17.2,3.0,0.0
2021-02-11,16.6,1.0,0.0
2021-02-12,14.9,7.6,0.0
2021-02-13,18.2,9.0,0.0
2021-02-14,17.3,4.8,0.0
2021-02-15,16.5,3.2,4.2
2021-02-16,15.4,4.2,0.0
2021-02-17,15.8,1.6,0.0
2021-02-18,16.3,0.5,0.0
2021-02-19,17.5,-1.2,0.0
2021-02-20,18.9,-1.0,0.0
2021-02-21,18.6,-0.1,0.0
2021-02-22,15.6,4.8,0.0
2021-02-23,17.5,6.3,0.0
2021-02-24,17.8,5.8,1.8
2021-02-25,17.7,8.3,2.1
2021-02-26,20.5,6.2,0.0
2021-02-27,19.8,6.0,1.9
2021-02-28,16.2,9.8,27.2
2021-03-01,18.0,7.8,13.7
2021-03-02,15.7,8.7,27.6
2021-03-03,15.1,7.7,10.7
2021-03-04,16.2,5.9,9.7
2021-03-05,15.8,8.0,13.6
2021-03-06,16.9,5.6,0.5
2021-03-07,15.5,4.6,30.2
2021-03-08,17.2,6.6,16.8
2021-03-09,13.5,8.3,56.1
2021-03-10,15.2,6.5,7.2
2021-03-11,14.4,7.1,6.2
2021-03-12,15.8,7.9,6.0
2021-03-13,18.3,3.9,0.0
2021-03-14,17.1,3.1,0.0
2021-03-15,14.8,5.9,16.1
2021-03-16,12.3,6.4,13.3
2021-03-17,14.8,6.2,9.9
2021-03-18,17.2,3.3,2.3
2021-03-19,14.8,7.3,0.0
2021-03-20,15.4,0.7,0.0
2021-03-21,14.8,2.2,1.5
2021-03-22,16.8,3.9,2.5
2021-03-23,16.3,2.9,1.7
2021-03-24,14.1,4.9,0.0
2021-03-25,17.6,3.6,11.0
2021-03-26,16.8,4.5,9.4
2021-03-27,17.1,8.0,11.3
2021-03-28,17.8,5.7,0.0
2021-03-29,16.3,7.7,5.4
2021-03-30,17.7,6.4,0.6
2021-03-31,17.5,4.6,0.7
2021-04-01,15.9,8.5,21.7
2021-04-02,17.4,7.6,22.5
2021-04-03,17.1,8.1,7.9
2021-04-04,17.3,4.4,0.0
2021-04-05,18.5,5.8,4.7
2021-04-06,16.7,7.8,1.6
2021-04-07,18.9,7.2,2.3
2021-04-08,17.8,7.5,0.7
2021-04-09,18.6,5.9,0.0
2021-04-10,17.4,8.4,0.0
2021-04-11,16.3,5.2,5.1
2021-04-12,18.5,4.6,0.0
2021-04-13,18.5,7.7,0.0
2021-04-14,19.3,6.1,0.7
2021-04-15,18.6,6.4,0.0
2021-04-16,16.3,4.4,0.7
2021-04-17,18.5,4.2,0.0
2021-04-18,19.1,4.8,5.1
2021-04-19,17.1,5.5,1.2
2021-04-20,18.3,3.3,0.2
2021-04-21,18.1,3.9,0.0
2021-04-22,17.8,4.9,10.4
2021-04-23,17.9,7.6,27.5
2021-04-24,18.1,6.6,0.0
2021-04-25,17.6,6.7,9.8
2021-04-26,15.6,7.3,1.5
2021-04-27,16.6,7.1,0.0
2021-04-28,16.4,4.6,0.0
2021-04-29,15.7,4.3,4.4
2021-04-30,15.9,3.7,7.6
2021-05-01,14.9,3.7,5.6
2021-05-02,17.3,4.4,16.1
2021-05-03,16.5,3.0,4.1
2021-05-04,17.0,4.8,1.1
2021-05-05,16.3,4.6,0.7
2021-05-06,18.0,6.5,1.2
2021-05-07,15.9,4.6,2.3
2021-05-08,17.2,7.2,2.3
2021-05-09,17.1,3.7,0.0
2021-05-10,16.9,4.9,0.0
2021-05-11,16.5,4.6,0.0
2021-05-12,19.9,2.3,0.0
2021-05-13,16.6,3.0,0.0
2021-05-14,17.8,4.4,0.0
2021-05-15,17.1,8.8,8.5
2021-05-16,16.3,8.3,3.1
2021-05-17,16.5,4.4,11.3
2021-05-18,15.7,6.8,0.7
2021-05-19,17.2,4.8,0.6
2021-05-20,18.6,4.3,0.0
2021-05-21,19.4,2.8,0.0
2021-05-22,18.8,4.8,1.4
2021-05-23,16.7,6.2,0.7
2021-05-24,18.1,3.6,2.5
2021-05-25,18.5,5.8,0.0
2021-05-26,19.8,4.5,0.0
2021-05-27,18.6,1.2,0.0
2021-05-28,16.9,3.0,0.4
2021-05-29,17.4,2.6,0.0
2021-05-30,18.9,4.5,1.4
2021-05-31,17.1,6.6,0.0
2021-06-01,18.4,5.9,0.0
2021-06-02,17.9,4.9,0.0
2021-06-03,17.2,2.6,0.0
2021-06-04,15.8,4.0,3.2
2021-06-05,14.5,3.8,1.9
2021-06-06,16.5,3.9,6.9
2021-06-07,15.4,7.4,9.9
2021-06-08,14.9,7.8,2.3
2021-06-09,16.8,3.8,0.0
2021-06-10,17.4,3.5,0.6
2021-06-11,16.8,3.8,0.0
2021-06-12,16.9,3.9,0.2
2021-06-13,14.1,6.5,0.8
2021-06-14,17.4,1.7,0.0
2021-06-15,15.5,5.4,0.0
2021-06-16,15.2,2.2,1.1
2021-06-17,16.0,2.9,0.0
2021-06-18,16.6,3.3,1.0
2021-06-19,15.2,5.3,1.9
2021-06-20,15.3,4.6,2.3
2021-06-21,17.7,4.3,0.0
2021-06-22,16.6,1.8,0.0
2021-06-23,18.3,1.3,0.0
2021-06-24,17.4,0.5,0.0
2021-06-25,17.5,0.9,0.0
2021-06-26,16.8,0.8,0.0
2021-06-27,16.9,0.5,10.6
2021-06-28,16.4,1.4,0.7
2021-06-29,15.9,4.1,9.2
2021-06-30,15.2,6.6,0.0
2021-07-01,16.1,0.8,0.0
2021-07-02,17.3,-0.5,0.0
2021-07-03,17.4,-1.0,0.0
2021-07-04,17.8,-1.1,0.0
2021-07-05,19.7,0.2,0.0
2021-07-06,19.2,-0.5,0.0
2021-07-07,18.5,-1.1,0.0
2021-07-08,17.2,1.8,0.0
2021-07-09,16.2,1.3,0.3
2021-07-10,15.3,1.9,0.0
2021-07-11,16.5,3.5,0.4
2021-07-12,13.6,3.6,1.6
2021-07-13,15.6,3.2,0.0
2021-07-14,18.7,1.6,0.0
2021-07-15,17.8,0.7,0.0
2021-07-16,17.2,0.8,0.8
2021-07-17,16.8,3.0,2.0
2021-07-18,15.2,6.5,0.8
2021-07-19,17.6,3.4,0.0
2021-07-20,19.7,7.8,0.0
2021-07-21,17.8,3.4,0.0
2021-07-22,16.9,6.1,0.0
2021-07-23,18.8,-1.1,0.0
2021-07-24,19.8,-1.6,0.0
2021-07-25,17.3,-0.6,0.0
2021-07-26,16.8,0.5,0.0
2021-07-27,15.9,0.3,0.0
2021-07-28,18.4,0.7,0.0
2021-07-29,18.5,4.0,0.0
2021-07-30,18.7,4.8,0.0
2021-07-31,17.5,5.5,0.0
2021-08-01,17.5,6.3,0.0
2021-08-02,15.9,3.2,0.0
2021-08-03,16.3,2.4,0.0
2021-08-04,16.2,2.5,0.0
2021-08-05,18.7,4.6,0.0
2021-08-06,19.6,3.2,0.0
2021-08-07,18.8,-0.7,0.0
2021-08-08,18.9,-0.9,0.0
2021-08-09,17.9,-0.7,0.0
2021-08-10,17.3,3.0,0.0
2021-08-11,16.4,2.5,0.0
2021-08-12,16.6,2.5,0.0
2021-08-13,18.8,4.8,0.0
2021-08-14,16.2,5.2,0.7
2021-08-15,14.6,4.8,0.0
2021-08-16,16.5,2.3,0.0
2021-08-17,18.3,0.8,0.2
2021-08-18,18.2,2.5,0.0
2021-08-19,18.5,1.3,0.0
2021-08-20,18.8,2.1,0.0
2021-08-21,18.3,2.3,0.2
2021-08-22,18.8,1.8,0.0
2021-08-23,18.5,1.6,2.7
2021-08-24,18.1,4.1,3.9
2021-08-25,17.6,4.2,0.0
2021-08-26,18.0,6.8,0.0
2021-08-27,16.4,2.0,0.0
2021-08-28,16.3,2.9,0.0
2021-08-29,14.9,8.0,6.5
2021-08-30,16.2,4.5,8.6
2021-08-31,17.9,6.5,0.0
2021-09-01,18.3,6.7,0.0
2021-09-02,15.6,1.6,0.0
2021-09-03,18.6,2.8,0.0
2021-09-04,19.9,3.8,0.0
2021-09-05,18.3,3.8,3.5
2021-09-06,13.6,6.9,0.0
2021-09-07,17.8,4.2,1.2
2021-09-08,18.1,2.2,16.0
2021-09-09,14.6,3.8,14.9
2021-09-10,16.9,4.4,19.7
2021-09-11,12.7,6.7,14.4
2021-09-12,18.6,7.6,0.0
2021-09-13,18.4,5.6,0.0
2021-09-14,16.4,6.2,5.8
2021-09-15,18.2,3.3,0.0
2021-09-16,16.6,3.4,1.2
2021-09-17,17.8,6.8,0.0
2021-09-18,19.5,1.8,6.0
2021-09-19,17.9,4.6,0.0
2021-09-20,19.0,2.8,0.0
2021-09-21,16.9,2.3,0.0
2021-09-22,15.6,4.1,0.0
