Fecha,Tmax,Tmin,PP
2021-01-01,20.8,10.2,0.5
2021-01-02,19.3,10.8,7.1
2021-01-03,22.4,9.9,15.5
2021-01-04,20.8,10.3,0.0
2021-01-05,17.8,8.8,0.0
2021-01-06,19.9,7.6,0.0
2021-01-07,20.5,6.4,1.0
2021-01-08,19.3,11.6,2.5
2021-01-09,21.0,11.1,3.5
2021-01-10,21.4,10.5,0.3
2021-01-11,22.7,6.7,0.0
2021-01-12,22.1,8.0,9.3
2021-01-13,20.3,10.1,0.9
2021-01-14,22.7,9.0,8.4
2021-01-15,19.8,11.9,15.1
2021-01-16,17.6,11.2,1.0
2021-01-17,20.9,11.6,0.3
2021-01-18,19.4,12.2,4.1
2021-01-19,22.2,11.6,2.7
2021-01-20,19.8,12.2,2.3
2021-01-21,21.1,11.6,8.4
2021-01-22,19.4,11.7,0.2
2021-01-23,19.2,9.6,0.0
2021-01-24,20.1,7.6,0.4
2021-01-25,22.2,9.6,T
2021-01-26,18.8,11.4,3.9
2021-01-27,21.2,10.9,10.6
2021-01-28,22.6,11.2,0.5
2021-01-29,21.5,12.0,0.9
2021-01-30,22.2,10.4,1.4
2021-01-31,21.6,7.2,0.0
2021-02-01,23.6,6.4,0.0
2021-02-02,23.2,8.6,5.0
2021-02-03,23.1,8.0,0.0
2021-02-04,22.6,10.2,6.8
2021-02-05,21.6,9.8,1.3
2021-02-06,22.5,11.0,0.1
2021-02-07,23.4,10.6,T
2021-02-08,22.4,7.8,T
2021-02-09,24.3,7.6,0.0
2021-02-10,23.2,7.4,0.0
2021-02-11,21.2,5.0,0.0
2021-02-12,21.4,11.5,0.0
2021-02-13,23.8,11.1,0.0
2021-02-14,23.3,9.4,0.0
2021-02-15,21.5,10.6,0.0
2021-02-16,21.7,8.6,0.0
2021-02-17,21.6,5.6,0.0
2021-02-18,22.6,4.7,0.0
2021-02-19,23.7,3.4,0.0
2021-02-20,24.0,3.2,0.0
2021-02-21,23.0,4.2,0.0
2021-02-22,17.7,10.3,0.0
2021-02-23,19.5,10.0,2.0
2021-02-24,21.0,10.2,1.7
2021-02-25,21.8,9.8,T
2021-02-26,24.5,7.9,0.0
2021-02-27,23.7,10.2,4.8
2021-02-28,22.5,12.3,24.9
2021-03-01,22.2,11.1,3.6
2021-03-02,20.3,11.6,5.2
2021-03-03,21.3,10.3,5.9
2021-03-04,21.6,8.9,5.4
2021-03-05,22.4,10.6,0.5
2021-03-06,21.8,9.0,0.2
2021-03-07,19.2,8.4,4.0
2021-03-08,22.7,10.8,7.1
2021-03-09,20.0,11.6,29.1
2021-03-10,18.8,9.2,5.2
2021-03-11,20.1,10.6,8.8
2021-03-12,20.0,10.8,0.5
2021-03-13,22.4,6.8,0.0
2021-03-14,21.8,7.4,0.0
2021-03-15,20.2,11.0,7.0
2021-03-16,18.8,9.4,10.9
2021-03-17,18.8,9.9,6.2
2021-03-18,20.8,6.4,2.9
2021-03-19,20.3,10.9,1.9
2021-03-20,20.4,4.9,0.0
2021-03-21,15.6,6.6,0.8
2021-03-22,20.0,8.6,2.8
2021-03-23,21.2,8.2,0.3
2021-03-24,16.2,10.6,0.1
2021-03-25,22.2,6.8,1.6
2021-03-26,22.9,7.8,13.2
2021-03-27,21.7,11.2,0.5
2021-03-28,21.4,10.0,1.0
2021-03-29,19.6,11.4,3.6
2021-03-30,20.4,11.4,6.9
2021-03-31,19.9,9.6,1.3
2021-04-01,20.6,10.9,18.1
2021-04-02,23.0,11.0,1.0
2021-04-03,21.4,11.8,10.6
2021-04-04,21.6,8.8,19.4
2021-04-05,20.8,8.9,4.5
2021-04-06,20.0,11.7,31.5
2021-04-07,22.3,9.3,7.2
2021-04-08,22.4,11.2,0.8
2021-04-09,22.9,9.8,2.1
2021-04-10,20.4,11.1,T
2021-04-11,21.9,9.0,2.6
2021-04-12,21.8,8.5,0.0
2021-04-13,21.3,10.9,0.0
2021-04-14,23.3,7.9,2.0
2021-04-15,21.7,8.7,0.0
2021-04-16,21.4,6.4,T
2021-04-17,23.0,6.8,0.0
2021-04-18,22.8,8.0,11.1
2021-04-19,21.4,8.9,1.2
2021-04-20,21.7,6.2,T
2021-04-21,21.8,6.6,1.2
2021-04-22,21.8,9.0,0.0
2021-04-23,23.3,9.6,5.1
2021-04-24,22.7,10.1,T
2021-04-25,23.5,9.6,1.4
2021-04-26,21.1,10.6,9.7
2021-04-27,20.3,11.6,0.0
2021-04-28,21.4,8.8,0.0
2021-04-29,21.8,8.6,0.0
2021-04-30,23.0,6.8,T
2021-05-01,23.3,9.8,0.8
2021-05-02,21.5,8.2,1.8
2021-05-03,20.7,6.8,4.3
2021-05-04,22.0,7.6,5.4
2021-05-05,21.7,7.7,9.8
2021-05-06,22.0,9.4,0.4
2021-05-07,19.4,8.8,0.6
2021-05-08,19.8,10.1,2.0
2021-05-09,21.1,5.6,0.0
2021-05-10,21.0,6.2,0.0
2021-05-11,20.3,6.4,0.0
2021-05-12,19.8,5.2,0.0
2021-05-13,21.1,8.1,0.0
2021-05-14,22.5,10.1,T
2021-05-15,21.8,10.6,1.8
2021-05-16,20.7,11.4,0.9
2021-05-17,23.0,8.1,6.4
2021-05-18,19.2,10.9,0.5
2021-05-19,23.0,7.8,0.0
2021-05-20,22.7,7.0,0.0
2021-05-21,23.4,6.1,0.0
2021-05-22,23.8,8.2,0.0
2021-05-23,19.8,11.1,2.0
2021-05-24,20.8,6.6,1.3
2021-05-25,22.2,9.1,0.0
2021-05-26,23.6,5.2,0.0
2021-05-27,23.6,4.8,0.0
2021-05-28,22.0,6.2,0.0
2021-05-29,23.1,5.1,0.0
2021-05-30,24.0,7.4,0.0
2021-05-31,22.4,8.9,T
2021-06-01,21.7,10.2,0.0
2021-06-02,22.3,9.0,0.0
2021-06-03,21.4,5.9,0.0
2021-06-04,19.2,7.4,0.5
2021-06-05,20.3,6.8,0.0
2021-06-06,21.8,9.6,0.5
2021-06-07,22.0,10.0,2.7
2021-06-08,18.2,10.8,1.3
2021-06-09,21.2,8.0,0.0
2021-06-10,23.4,7.9,0.3
2021-06-11,22.2,6.4,0.0
2021-06-12,20.7,8.4,0.0
2021-06-13,21.2,10.2,T
2021-06-14,22.8,5.0,0.0
2021-06-15,22.2,7.2,0.0
2021-06-16,21.2,5.6,1.1
2021-06-17,21.2,5.4,0.0
2021-06-18,20.3,6.7,0.8
2021-06-19,20.7,7.0,1.6
2021-06-20,19.3,8.9,1.3
2021-06-21,22.1,6.6,T
2021-06-22,21.2,5.9,0.0
2021-06-23,23.2,4.1,0.0
2021-06-24,22.6,3.9,0.0
2021-06-25,22.1,4.8,0.0
2021-06-26,22.2,4.1,0.0
2021-06-27,22.8,5.4,0.3
2021-06-28,21.3,4.7,0.0
2021-06-29,21.0,8.6,0.1
2021-06-30,20.8,9.3,0.0
2021-07-01,21.1,4.2,0.0
2021-07-02,22.0,2.5,0.0
2021-07-03,21.6,2.0,0.0
2021-07-04,22.6,1.2,0.0
2021-07-05,23.5,2.2,0.0
2021-07-06,23.1,2.0,0.0
2021-07-07,23.0,2.3,0.0
2021-07-08,21.7,3.3,0.0
2021-07-09,19.3,3.9,0.3
2021-07-10,20.9,5.0,T
2021-07-11,19.4,8.0,0.2
2021-07-12,17.3,9.2,1.6
2021-07-13,19.7,4.1,0.0
2021-07-14,23.0,3.6,0.0
2021-07-15,24.1,3.9,0.0
2021-07-16,23.4,4.4,0.0
2021-07-17,20.8,5.8,1.4
2021-07-18,19.6,10.9,1.0
2021-07-19,20.9,5.6,0.0
2021-07-20,23.3,6.4,0.0
2021-07-21,22.2,4.1,0.0
2021-07-22,22.6,6.2,0.0
2021-07-23,23.4,3.0,0.0
2021-07-24,24.8,1.8,0.0
2021-07-25,23.8,3.0,0.0
2021-07-26,22.3,4.2,0.0
2021-07-27,21.6,4.4,0.0
2021-07-28,23.6,4.8,0.0
2021-07-29,23.4,4.2,0.0
2021-07-30,23.3,5.6,0.0
