Fecha,Tmax,Tmin,PP
2021-01-01,23.5,12.8,0.3
2021-01-02,25.8,13.9,1.1
2021-01-03,26.0,11.5,3.0
2021-01-04,23.6,13.5,2.6
2021-01-05,21.6,11.6,0.0
2021-01-06,24.0,10.3,0.0
2021-01-07,24.9,12.7,0.4
2021-01-08,21.9,13.5,1.8
2021-01-09,25.7,13.0,0.0
2021-01-10,26.0,11.5,0.0
2021-01-11,28.0,8.7,0.0
2021-01-12,27.6,10.0,15.9
2021-01-13,24.3,12.7,4.3
2021-01-14,24.0,12.5,29.0
2021-01-15,23.3,14.2,10.4
2021-01-16,22.0,14.0,15.1
2021-01-17,25.5,13.4,4.3
2021-01-18,24.2,14.6,9.7
2021-01-19,23.0,14.0,2.4
2021-01-20,23.0,14.3,6.2
2021-01-21,24.5,13.9,3.6
2021-01-22,27.0,14.0,0.0
2021-01-23,23.5,13.1,0.0
2021-01-24,25.7,8.9,0.0
2021-01-25,25.1,12.0,0.0
2021-01-26,22.6,13.0,7.4
2021-01-27,23.4,13.2,12.8
2021-01-28,25.5,13.1,0.0
2021-01-29,24.6,14.3,9.8
2021-01-30,26.0,12.7,0.0
2021-01-31,26.1,10.3,0.0
2021-02-01,27.9,8.5,0.0
2021-02-02,27.6,8.5,4.0
2021-02-03,27.7,10.2,0.8
2021-02-04,27.0,12.5,23.1
2021-02-05,24.5,12.1,2.5
2021-02-06,24.9,13.4,0.0
2021-02-07,27.4,13.5,0.3
2021-02-08,26.6,12.3,0.0
2021-02-09,29.0,11.5,0.0
2021-02-10,25.7,10.2,0.0
2021-02-11,26.1,7.9,0.0
2021-02-12,26.1,13.5,0.0
2021-02-13,29.1,14.8,0.0
2021-02-14,29.4,13.4,0.0
2021-02-15,26.8,14.5,0.0
2021-02-16,26.2,9.5,0.0
2021-02-17,26.3,8.5,0.0
2021-02-18,26.7,7.0,0.0
2021-02-19,28.0,6.2,0.0
2021-02-20,29.5,4.9,0.0
2021-02-21,27.6,6.6,0.0
2021-02-22,20.0,12.6,0.0
2021-02-23,25.6,12.4,0.0
2021-02-24,25.0,13.2,0.0
2021-02-25,25.6,14.7,0.0
2021-02-26,28.2,9.8,0.0
2021-02-27,27.8,11.5,3.8
2021-02-28,25.7,15.1,1.3
2021-03-01,25.5,14.0,15.3
2021-03-02,23.6,14.3,12.3
2021-03-03,25.5,13.0,3.1
2021-03-04,25.3,11.5,8.5
2021-03-05,25.3,13.9,0.0
2021-03-06,25.2,12.5,0.0
2021-03-07,25.6,10.5,5.7
2021-03-08,25.1,14.0,24.6
2021-03-09,22.2,14.1,43.1
2021-03-10,22.0,11.7,1.3
2021-03-11,24.0,11.7,12.8
2021-03-12,23.5,12.0,0.2
2021-03-13,27.0,10.3,0.0
2021-03-14,26.2,10.3,0.0
2021-03-15,22.5,13.2,12.3
2021-03-16,23.1,12.5,6.3
2021-03-17,23.1,12.7,2.6
2021-03-18,24.6,9.5,4.9
2021-03-19,23.0,9.8,7.6
2021-03-20,24.2,7.7,13.4
2021-03-21,17.6,10.4,2.4
2021-03-22,24.4,11.7,0.0
2021-03-23,23.0,13.6,0.2
2021-03-24,20.2,12.9,3.7
2021-03-25,24.6,9.3,3.4
2021-03-26,25.6,10.5,0.0
2021-03-27,26.2,10.8,2.3
2021-03-28,25.6,12.2,0.0
2021-03-29,25.6,13.7,0.0
2021-03-30,25.4,13.9,0.0
2021-03-31,24.9,11.9,0.0
2021-04-01,24.5,14.3,4.5
2021-04-02,25.9,13.5,0.3
2021-04-03,24.0,13.7,1.8
2021-04-04,24.9,11.8,0.0
2021-04-05,26.2,10.3,7.2
2021-04-06,23.1,13.8,0.0
2021-04-07,26.6,12.2,0.0
2021-04-08,26.5,13.0,0.0
2021-04-09,27.0,12.2,0.0
2021-04-10,25.5,14.3,0.0
2021-04-11,26.2,11.9,0.4
2021-04-12,25.0,9.4,1.1
2021-04-13,25.5,11.8,0.0
2021-04-14,27.2,10.5,0.0
2021-04-15,27.3,10.3,0.0
2021-04-16,26.9,8.5,11.7
2021-04-17,26.6,10.2,0.0
2021-04-18,27.6,10.0,2.2
2021-04-19,26.4,11.8,0.0
2021-04-20,26.6,8.6,0.0
2021-04-21,27.5,8.7,0.0
2021-04-22,26.5,12.0,0.4
2021-04-23,27.1,10.7,14.6
2021-04-24,24.6,12.2,1.1
2021-04-25,26.4,11.2,0.2
2021-04-26,25.0,12.8,6.0
2021-04-27,23.9,12.8,0.3
2021-04-28,27.4,11.8,16.8
2021-04-29,25.0,11.3,0.0
2021-04-30,26.5,11.5,10.3
2021-05-01,27.0,11.9,4.5
2021-05-02,25.5,9.9,0.2
2021-05-03,26.6,9.4,8.5
2021-05-04,26.3,11.4,0.0
2021-05-05,27.9,10.9,15.5
2021-05-06,26.1,11.3,5.0
2021-05-07,25.5,12.5,1.4
2021-05-08,24.5,13.2,0.0
2021-05-09,23.4,9.8,0.0
2021-05-10,24.4,8.2,0.0
2021-05-11,23.5,9.5,0.0
2021-05-12,23.6,7.8,0.0
2021-05-13,24.3,11.9,0.0
2021-05-14,26.6,10.2,0.0
2021-05-15,25.7,11.8,0.0
2021-05-16,25.2,13.7,0.0
2021-05-17,27.5,11.5,1.8
2021-05-18,24.6,13.9,0.0
2021-05-19,26.6,10.4,0.0
2021-05-20,26.5,8.7,0.0
2021-05-21,28.6,8.2,0.0
2021-05-22,26.7,10.5,0.0
2021-05-23,23.2,10.9,0.3
2021-05-24,24.5,10.2,0.0
2021-05-25,27.0,11.3,0.0
2021-05-26,26.6,7.0,0.0
2021-05-27,27.6,6.9,0.0
2021-05-28,28.5,9.2,0.0
2021-05-29,28.9,8.0,0.0
2021-05-30,23.6,9.3,0.0
2021-05-31,26.2,11.2,0.0
2021-06-01,25.5,10.8,0.0
2021-06-02,26.6,11.3,0.0
2021-06-03,25.0,8.2,0.0
2021-06-04,23.1,10.8,3.4
2021-06-05,24.6,8.9,0.0
2021-06-06,25.8,10.0,0.0
2021-06-07,23.0,12.4,0.7
2021-06-08,24.4,12.8,1.6
2021-06-09,26.9,11.7,5.0
2021-06-10,27.5,11.3,0.0
2021-06-11,26.0,9.3,0.0
2021-06-12,24.6,9.5,0.0
2021-06-13,24.0,13.5,1.2
2021-06-14,27.5,6.9,0.0
2021-06-15,26.6,9.8,0.0
2021-06-16,22.9,8.5,0.3
2021-06-17,23.4,7.6,0.0
2021-06-18,24.0,8.3,0.0
2021-06-19,24.5,10.4,0.0
2021-06-20,24.1,10.6,0.0
2021-06-21,25.6,7.5,0.0
2021-06-22,25.3,6.9,0.0
2021-06-23,27.3,6.2,0.0
2021-06-24,27.6,6.3,0.0
2021-06-25,27.0,7.0,0.0
2021-06-26,26.6,6.4,0.0
2021-06-27,25.9,8.2,0.0
2021-06-28,25.9,5.5,0.0
2021-06-29,25.7,12.0,2.5
2021-06-30,25.0,10.3,0.0
2021-07-01,24.4,6.2,0.0
2021-07-02,24.0,4.8,0.0
2021-07-03,23.9,3.1,0.0
2021-07-04,26.5,2.2,0.0
2021-07-05,26.5,3.9,0.0
2021-07-06,25.3,4.4,0.0
