Fecha,Tmax,Tmin,PP
2021-01-01,17.0,9.0,7.0
2021-01-02,18.2,8.4,2.3
2021-01-03,17.6,7.4,0.0
2021-01-04,16.0,9.2,1.0
2021-01-05,15.4,7.8,0.0
2021-01-06,14.8,7.0,0.0
2021-01-07,16.4,7.0,11.0
2021-01-08,15.4,8.2,12.2
2021-01-09,18.2,7.8,2.6
2021-01-10,17.2,8.0,0.0
2021-01-11,19.4,8.0,0.0
2021-01-12,20.0,8.4,6.7
2021-01-13,19.0,8.6,2.7
2021-01-14,19.4,9.0,15.1
2021-01-15,15.8,9.2,5.9
2021-01-16,15.2,8.8,12.2
2021-01-17,17.4,8.4,5.5
2021-01-18,16.4,9.6,17.5
2021-01-19,17.0,8.6,3.2
2021-01-20,17.6,9.2,14.5
2021-01-21,17.0,8.4,6.9
2021-01-22,18.0,9.4,0.0
2021-01-23,16.0,9.0,0.0
2021-01-24,18.6,8.0,0.0
2021-01-25,17.6,8.8,0.0
2021-01-26,18.2,9.8,4.8
2021-01-27,19.0,8.0,21.4
2021-01-28,18.2,8.0,3.4
2021-01-29,16.8,7.6,8.1
2021-01-30,18.6,7.8,1.0
2021-01-31,17.6,7.8,0.0
2021-02-01,19.0,7.0,0.0
2021-02-02,20.4,8.8,0.0
2021-02-03,19.6,8.0,0.0
2021-02-04,20.4,9.2,26.5
2021-02-05,18.8,7.6,9.7
2021-02-06,18.0,9.0,0.0
2021-02-07,19.2,9.2,1.2
2021-02-08,18.2,8.4,1.5
2021-02-09,19.8,8.0,0.0
2021-02-10,17.6,7.2,0.0
2021-02-11,17.8,6.0,0.5
2021-02-12,18.0,9.0,0.0
2021-02-13,21.0,10.0,0.0
2021-02-14,21.0,7.4,0.0
2021-02-15,19.4,8.2,0.0
2021-02-16,18.0,5.0,0.0
2021-02-17,17.0,5.2,0.0
2021-02-18,18.0,5.2,0.0
2021-02-19,19.0,5.8,0.0
2021-02-20,21.0,6.8,0.0
2021-02-21,19.2,6.0,0.0
2021-02-22,14.0,8.6,0.0
2021-02-23,17.8,8.2,0.0
2021-02-24,17.4,9.0,0.0
2021-02-25,17.0,9.0,0.0
2021-02-26,20.4,7.8,0.0
2021-02-27,20.6,8.4,19.0
2021-02-28,18.8,9.0,6.5
2021-03-01,17.6,8.6,0.0
2021-03-02,16.0,8.4,23.4
2021-03-03,18.6,7.8,6.0
2021-03-04,17.2,7.2,15.2
2021-03-05,18.0,8.6,0.7
2021-03-06,16.4,9.2,0.0
2021-03-07,18.2,9.0,3.5
2021-03-08,19.0,9.0,19.4
2021-03-09,16.0,8.8,54.8
2021-03-10,13.4,6.2,2.7
2021-03-11,17.0,8.0,11.7
2021-03-12,16.8,7.2,1.3
2021-03-13,18.6,6.0,0.0
2021-03-14,18.0,5.4,11.0
2021-03-15,16.4,7.8,10.5
2021-03-16,15.6,7.4,7.5
2021-03-17,16.6,7.0,4.7
2021-03-18,16.0,5.4,30.9
2021-03-19,16.0,6.8,3.9
2021-03-20,16.8,6.0,0.0
2021-03-21,12.6,6.6,7.3
2021-03-22,17.2,7.0,2.0
2021-03-23,17.4,8.2,12.4
2021-03-24,13.2,7.6,3.5
2021-03-25,17.8,6.0,1.0
2021-03-26,19.0,7.8,7.7
2021-03-27,18.4,8.8,0.0
2021-03-28,17.8,9.8,0.0
2021-03-29,17.2,9.0,0.7
2021-03-30,18.2,9.0,0.0
2021-03-31,17.6,9.2,0.0
2021-04-01,18.0,8.6,16.1
2021-04-02,18.6,8.4,6.5
2021-04-03,16.6,9.0,0.0
2021-04-04,16.8,8.2,0.0
2021-04-05,19.0,7.8,35.6
2021-04-06,16.0,8.6,1.7
2021-04-07,18.2,8.4,0.5
2021-04-08,19.0,8.4,0.0
2021-04-09,18.0,8.8,1.8
2021-04-10,16.4,8.6,0.0
2021-04-11,17.6,8.4,0.0
2021-04-12,17.4,8.4,2.1
2021-04-13,17.2,8.6,0.0
2021-04-14,19.0,7.8,1.9
2021-04-15,17.4,8.0,0.0
2021-04-16,19.2,7.0,0.0
2021-04-17,18.6,8.0,0.0
2021-04-18,20.0,8.4,6.0
2021-04-19,18.2,9.0,0.0
2021-04-20,18.2,7.0,0.0
2021-04-21,20.0,7.2,0.0
2021-04-22,19.4,9.0,0.0
2021-04-23,21.0,8.0,33.7
2021-04-24,17.4,7.6,0.0
2021-04-25,18.2,9.4,6.4
2021-04-26,18.0,8.8,8.7
2021-04-27,15.0,8.2,0.0
2021-04-28,19.0,7.6,10.0
2021-04-29,18.0,6.8,0.4
2021-04-30,18.2,6.4,0.0
2021-05-01,18.6,6.4,5.4
2021-05-02,18.8,6.0,0.0
2021-05-03,19.4,7.0,28.8
2021-05-04,18.0,6.4,0.0
2021-05-05,19.2,7.2,19.8
2021-05-06,17.8,6.4,5.8
2021-05-07,16.8,6.4,1.8
2021-05-08,16.4,9.0,0.0
2021-05-09,16.8,7.6,0.0
2021-05-10,17.6,6.6,0.0
2021-05-11,17.0,7.4,0.0
2021-05-12,17.2,6.0,0.0
2021-05-13,18.0,7.8,0.0
2021-05-14,18.2,7.2,2.0
2021-05-15,17.8,9.0,0.0
2021-05-16,18.0,9.2,0.8
2021-05-17,19.0,7.8,10.0
2021-05-18,16.8,8.4,0.0
2021-05-19,18.2,8.2,0.0
2021-05-20,17.8,9.4,0.0
2021-05-21,19.2,6.2,0.0
2021-05-22,19.4,7.8,0.0
2021-05-23,15.4,8.8,1.4
2021-05-24,16.4,7.2,1.0
2021-05-25,16.4,6.4,0.0
2021-05-26,17.8,5.6,0.0
2021-05-27,19.2,5.8,0.0
2021-05-28,19.2,6.8,0.0
2021-05-29,19.0,6.4,0.0
2021-05-30,17.0,6.8,0.0
2021-05-31,17.8,8.8,0.0
2021-06-01,19.4,8.0,0.0
2021-06-02,19.6,9.8,0.0
2021-06-03,18.2,7.2,0.0
2021-06-04,16.4,8.2,1.0
2021-06-05,16.4,7.0,0.0
2021-06-06,18.0,8.8,2.0
2021-06-07,17.8,8.4,5.8
2021-06-08,16.2,8.8,4.5
2021-06-09,17.2,7.0,3.6
2021-06-10,19.6,6.4,3.5
2021-06-11,17.0,6.2,0.0
2021-06-12,17.0,7.8,0.0
2021-06-13,18.0,8.4,3.2
2021-06-14,18.0,5.0,0.0
2021-06-15,18.2,6.4,0.0
2021-06-16,17.4,7.0,0.0
2021-06-17,16.0,6.4,0.0
2021-06-18,16.8,7.0,0.0
2021-06-19,16.2,7.6,0.0
2021-06-20,17.2,7.4,0.0
2021-06-21,17.8,6.0,0.0
2021-06-22,17.6,6.8,0.0
2021-06-23,18.6,5.0,0.0
2021-06-24,19.0,5.4,0.0
2021-06-25,18.4,5.6,0.0
2021-06-26,19.0,4.8,0.0
2021-06-27,18.4,6.0,0.0
2021-06-28,18.0,5.8,0.8
2021-06-29,16.8,9.0,1.5
2021-06-30,16.4,8.2,0.0
2021-07-01,16.4,4.6,0.0
2021-07-02,16.2,4.4,0.0
2021-07-03,16.0,3.8,0.0
2021-07-04,17.4,3.0,0.0
2021-07-05,18.6,4.0,0.0
2021-07-06,17.4,3.8,0.0
2021-07-07,18.0,4.2,0.0
2021-07-08,17.2,4.6,0.0
2021-07-09,15.8,5.2,0.0
2021-07-10,16.2,6.2,0.0
2021-07-11,15.6,7.6,0.0
2021-07-12,14.0,8.0,2.1
2021-07-13,15.8,5.4,0.0
2021-07-14,17.2,5.4,0.0
2021-07-15,18.4,5.0,0.0
2021-07-16,16.8,5.2,0.0
2021-07-17,18.0,6.4,1.8
2021-07-18,16.0,7.6,0.0
2021-07-19,16.2,6.0,0.0
2021-07-20,17.0,5.8,0.0
2021-07-21,16.0,4.6,0.0
2021-07-22,16.8,4.8,0.0
2021-07-23,18.6,4.0,0.0
2021-07-24,19.0,4.6,0.0
2021-07-25,18.0,5.4,0.0
2021-07-26,18.2,5.2,0.0
2021-07-27,17.8,5.0,0.0
2021-07-28,16.4,5.4,0.0
2021-07-29,16.4,5.2,0.0
2021-07-30,18.2,5.2,0.0
2021-07-31,16.4,4.2,0.0
2021-08-01,15.8,3.8,0.0
2021-08-02,15.0,6.2,0.0
2021-08-03,15.2,4.6,0.0
2021-08-04,15.2,3.4,0.0
2021-08-05,16.8,3.2,0.0
2021-08-06,18.8,4.2,0.0
2021-08-07,19.8,5.0,0.0
2021-08-08,19.6,5.6,0.0
2021-08-09,19.0,4.8,0.0
2021-08-10,16.0,4.2,0.0
2021-08-11,15.2,7.2,0.0
2021-08-12,17.2,6.4,0.0
2021-08-13,18.4,7.4,0.0
2021-08-14,20.2,8.2,4.9
2021-08-15,18.0,8.2,0.0
2021-08-16,17.8,7.2,0.0
2021-08-17,19.2,6.0,0.0
2021-08-18,18.2,6.4,0.0
2021-08-19,17.8,5.8,0.0
2021-08-20,19.0,6.4,0.0
2021-08-21,17.8,7.6,0.0
2021-08-22,19.0,6.4,0.0
2021-08-23,21.2,6.8,0.0
2021-08-24,21.6,7.0,2.3
2021-08-25,21.0,7.4,7.6
2021-08-26,18.6,8.8,0.0
2021-08-27,15.8,6.6,0.0
2021-08-28,18.6,7.0,0.0
2021-08-29,16.0,9.0,4.2
2021-08-30,17.0,8.2,8.2
2021-08-31,17.2,6.4,0.0
2021-09-01,18.0,6.0,0.0
2021-09-02,17.2,6.0,0.0
2021-09-03,20.4,7.4,10.5
2021-09-04,20.0,8.6,0.0
2021-09-05,18.2,7.8,1.8
2021-09-06,13.8,6.8,0.0
2021-09-07,17.4,7.2,0.0
2021-09-08,19.6,6.0,3.7
2021-09-09,18.6,8.2,0.0
2021-09-10,19.0,8.6,0.6
2021-09-11,15.4,8.2,0.0
2021-09-12,18.4,8.0,0.7
2021-09-13,18.6,8.6,0.0
2021-09-14,20.0,8.2,0.0
2021-09-15,19.0,7.4,0.0
2021-09-16,15.2,8.8,4.2
2021-09-17,17.0,6.4,0.0
2021-09-18,19.2,5.6,0.0
2021-09-19,19.2,8.0,0.0
2021-09-20,18.6,6.4,0.0
2021-09-21,18.4,7.0,0.0
2021-09-22,16.4,9.0,0.0
2021-09-23,16.2,9.0,0.0
2021-09-24,19.0,5.0,0.0
2021-09-25,17.2,8.0,0.0
2021-09-26,19.0,7.4,0.0
2021-09-27,19.8,6.4,0.0
2021-09-28,20.2,6.2,0.0
2021-09-29,17.8,7.4,3.8
2021-09-30,18.0,8.8,0.0
2021-10-01,21.2,8.0,8.2
2021-10-02,19.8,8.2,13.5
2021-10-03,17.0,7.0,0.0
2021-10-04,17.6,8.8,1.5
2021-10-05,17.4,8.6,8.8
2021-10-06,16.2,8.0,2.0
2021-10-07,17.8,8.2,0.0
2021-10-08,20.4,9.0,20.5
2021-10-09,18.6,9.0,0.0
2021-10-10,19.8,9.4,0.0
2021-10-11,20.6,7.6,0.0
2021-10-12,21.4,8.0,10.0
2021-10-13,22.6,7.8,0.0
2021-10-14,22.6,10.0,21.3
2021-10-15,16.8,8.0,0.0
2021-10-16,19.0,8.6,7.0
2021-10-17,16.4,8.6,5.0
2021-10-18,17.2,7.6,8.6
2021-10-19,16.0,8.0,54.7
2021-10-20,15.4,6.8,0.0
2021-10-21,18.6,8.2,1.2
2021-10-22,19.2,8.0,9.3
2021-10-23,20.0,8.0,0.0
2021-10-24,21.6,8.0,0.0
2021-10-25,17.6,8.2,0.0
2021-10-26,19.6,7.4,2.7
2021-10-27,20.0,7.6,7.2
2021-10-28,17.0,7.8,0.0
2021-10-29,19.0,9.0,2.8
2021-10-30,18.8,8.0,0.0
2021-10-31,20.0,8.6,0.0
2021-11-01,18.6,8.6,0.0
2021-11-02,19.0,8.2,6.5
2021-11-03,18.8,7.0,0.0
2021-11-04,15.6,8.0,20.2
2021-11-05,15.0,8.0,25.6
2021-11-06,14.8,8.6,2.1
2021-11-07,19.0,7.8,3.6
2021-11-08,16.8,8.2,12.4
2021-11-09,17.4,7.4,0.0
2021-11-10,19.4,6.0,0.0
2021-11-11,17.6,7.6,0.5
2021-11-12,18.2,7.2,2.1
2021-11-13,18.4,9.0,0.5
2021-11-14,17.4,8.8,1.8
2021-11-15,19.4,9.0,0.0
2021-11-16,18.4,9.0,18.5
2021-11-17,17.0,8.0,0.0
2021-11-18,16.8,7.0,0.0
2021-11-19,18.0,7.0,0.0
2021-11-20,19.4,6.8,0.0
2021-11-21,17.4,8.0,0.5
2021-11-22,17.6,7.8,0.0
2021-11-23,18.6,8.0,23.0
2021-11-24,12.8,8.0,3.2
2021-11-25,17.8,8.2,21.3
2021-11-26,16.0,9.0,27.5
2021-11-27,17.6,8.0,3.2
2021-11-28,16.8,7.8,18.3
2021-11-29,15.8,7.0,1.0
2021-11-30,19.2,7.8,0.0
2021-12-01,17.8,6.0,0.0
2021-12-02,17.2,8.0,4.0
2021-12-03,14.8,9.4,11.7
2021-12-04,18.0,9.2,5.2
2021-12-05,17.4,8.6,14.2
2021-12-06,16.0,8.0,21.0
2021-12-07,17.2,7.4,0.0
2021-12-08,19.4,9.0,13.9
2021-12-09,18.6,8.6,13.5
2021-12-10,18.0,9.8,5.4
2021-12-11,16.8,9.0,0.0
2021-12-12,15.8,8.6,0.0
2021-12-13,17.2,5.0,0.0
2021-12-14,18.2,6.0,0.0
2021-12-15,19.0,7.0,0.0
2021-12-16,19.2,9.0,9.6
2021-12-17,19.0,9.0,3.2
2021-12-18,18.0,9.4,15.0
2021-12-19,17.8,9.0,15.6
2021-12-20,19.8,9.4,0.0
2021-12-21,20.0,7.6,5.0
2021-12-22,18.4,6.8,0.0
2021-12-23,18.6,6.8,6.7
2021-12-24,18.4,8.0,0.0
2021-12-25,19.2,7.0,0.8
2021-12-26,20.2,7.0,0.0
2021-12-27,21.8,7.0,0.0
2021-12-28,16.0,8.0,0.0
2021-12-29,18.0,9.0,0.0
2021-12-30,20.0,7.6,2.6
2021-12-31,18.2,9.0,0.0
2022-01-01,18.6,10.0,0.0
2022-01-02,21.0,8.4,0.0
2022-01-03,20.8,9.8,0.0
2022-01-04,17.2,10.4,0.0
2022-01-05,19.0,8.0,0.0
2022-01-06,18.8,8.2,0.0
2022-01-07,19.6,7.8,0.0
2022-01-08,21.0,7.4,2.5
2022-01-09,16.0,8.2,0.0
2022-01-10,17.4,6.8,0.0
2022-01-11,18.6,6.4,0.0
2022-01-12,20.8,6.4,0.0
2022-01-13,20.4,6.0,1.7
2022-01-14,16.8,6.2,0.0
2022-01-15,16.4,7.8,0.0
2022-01-16,16.0,8.0,0.0
2022-01-17,19.6,6.8,0.0
2022-01-18,20.6,6.0,6.0
2022-01-19,19.8,6.8,0.0
2022-01-20,19.0,8.0,12.5
2022-01-21,19.8,8.6,7.4
2022-01-22,19.0,9.2,17.3
2022-01-23,17.0,7.4,2.8
2022-01-24,17.4,9.0,5.0
2022-01-25,17.8,8.6,16.9
2022-01-26,17.0,7.0,3.4
2022-01-27,19.0,7.8,4.5
2022-01-28,18.8,8.2,0.0
2022-01-29,15.0,7.8,0.0
2022-01-30,14.0,5.6,0.0
2022-01-31,18.0,4.8,0.0
2022-02-01,18.4,4.0,0.0
2022-02-02,17.0,5.8,0.0
