Fecha,Tmax,Tmin,PP
2023-04-23,-999.0,-999.0,-999.0
2023-04-24,-999.0,-999.0,-999.0
2023-04-25,-999.0,-999.0,-999.0
2023-04-26,-999.0,-999.0,-999.0
2023-04-27,-999.0,-999.0,-999.0
2023-04-28,-999.0,-999.0,-999.0
2023-04-29,-999.0,-999.0,-999.0
2023-04-30,-999.0,-999.0,-999.0
2023-05-01,-999.0,-999.0,-999.0
2023-05-02,-999.0,-999.0,-999.0
2023-05-03,-999.0,-999.0,-999.0
2023-05-04,-999.0,-999.0,-999.0
2023-05-05,-999.0,-999.0,-999.0
2023-05-06,-999.0,-999.0,-999.0
2023-05-07,-999.0,-999.0,-999.0
2023-05-08,-999.0,-999.0,-999.0
2023-05-09,-999.0,-999.0,-999.0
2023-05-10,-999.0,-999.0,-999.0
2023-05-11,-999.0,-999.0,-999.0
2023-05-12,-999.0,-999.0,-999.0
2023-05-13,-999.0,-999.0,-999.0
2023-05-14,-999.0,-999.0,-999.0
2023-05-15,-999.0,-999.0,-999.0
2023-05-16,-999.0,-999.0,-999.0
2023-05-17,-999.0,-999.0,-999.0
2023-05-18,-999.0,-999.0,-999.0
2023-05-19,-999.0,-999.0,-999.0
2023-05-20,-999.0,-999.0,-999.0
2023-05-21,-999.0,-999.0,-999.0
2023-05-22,-999.0,-999.0,-999.0
2023-05-23,-999.0,-999.0,-999.0
2023-05-24,-999.0,-999.0,-999.0
2023-05-25,-999.0,-999.0,-999.0
2023-05-26,-999.0,-999.0,-999.0
2023-05-27,-999.0,-999.0,-999.0
2023-05-28,-999.0,-999.0,-999.0
2023-05-29,-999.0,-999.0,-999.0
2023-05-30,-999.0,-999.0,-999.0
2023-05-31,-999.0,-999.0,-999.0
2023-06-01,24.9,7.7,0.0
2023-06-02,20.8,8.4,0.0
2023-06-03,20.7,9.7,0.0
2023-06-04,21.7,9.8,0.0
2023-06-05,25.0,9.4,0.0
2023-06-06,-999.0,8.9,-999.0
2023-06-07,-999.0,-999.0,-999.0
