Fecha,Tmax,Tmin,PP
2021-01-01,21.2,12.2,2.6
2021-01-02,20.4,12.4,2.4
2021-01-03,20.6,11.0,12.0
2021-01-04,20.8,12.4,2.2
2021-01-05,18.2,12.0,0.3
2021-01-06,19.2,10.4,0.0
2021-01-07,20.2,10.2,3.4
2021-01-08,17.2,12.6,4.6
2021-01-09,19.8,12.8,5.2
2021-01-10,22.6,12.4,0.2
2021-01-11,21.6,11.2,0.5
2021-01-12,18.8,11.2,10.1
2021-01-13,18.8,12.2,5.0
2021-01-14,20.4,13.0,23.3
2021-01-15,20.4,12.4,19.5
2021-01-16,16.8,13.0,7.7
2021-01-17,18.8,12.2,10.5
2021-01-18,19.4,13.1,18.5
2021-01-19,19.2,13.0,21.4
2021-01-20,21.3,13.2,11.1
2021-01-21,20.0,12.8,8.9
2021-01-22,20.0,13.0,1.0
2021-01-23,17.8,13.6,0.0
2021-01-24,21.2,11.4,11.1
2021-01-25,21.0,13.2,7.4
2021-01-26,16.0,13.2,5.3
2021-01-27,20.2,12.4,15.8
2021-01-28,21.2,12.6,16.1
2021-01-29,19.6,13.4,2.0
2021-01-30,20.4,12.4,0.6
2021-01-31,25.2,11.8,0.0
2021-02-01,21.6,11.8,0.0
2021-02-02,23.0,12.6,3.3
2021-02-03,22.8,12.8,0.6
2021-02-04,22.6,12.4,1.7
2021-02-05,20.2,12.8,3.8
2021-02-06,18.8,12.4,0.9
2021-02-07,21.6,13.8,0.0
2021-02-08,21.4,12.6,0.0
2021-02-09,22.6,13.0,0.0
2021-02-10,21.2,12.8,0.0
2021-02-11,20.6,10.4,3.2
2021-02-12,17.0,13.2,4.6
2021-02-13,21.8,13.2,0.0
2021-02-14,22.2,12.4,0.0
2021-02-15,24.4,12.8,7.9
2021-02-16,20.8,10.2,11.2
2021-02-17,22.2,10.0,4.9
2021-02-18,23.0,10.2,0.0
2021-02-19,23.1,10.6,0.0
2021-02-20,21.8,9.8,0.0
2021-02-21,22.4,9.0,0.0
2021-02-22,20.4,12.2,0.0
2021-02-23,21.0,12.8,1.8
2021-02-24,27.6,11.2,0.0
2021-02-25,24.8,13.2,0.0
2021-02-26,23.2,12.4,0.0
2021-02-27,23.2,13.2,7.4
2021-02-28,18.2,13.4,15.9
2021-03-01,20.8,12.6,15.8
2021-03-02,19.2,13.0,17.1
2021-03-03,25.0,12.4,23.2
2021-03-04,19.6,11.6,20.7
2021-03-05,19.6,12.8,22.7
2021-03-06,20.2,12.6,2.6
2021-03-07,18.6,12.8,23.3
2021-03-08,19.8,12.8,11.3
2021-03-09,17.2,12.8,34.9
2021-03-10,19.8,12.2,32.1
2021-03-11,19.4,11.2,35.6
2021-03-12,20.4,11.8,12.0
2021-03-13,21.0,10.4,0.0
2021-03-14,21.4,11.8,0.8
2021-03-15,18.6,12.8,7.6
2021-03-16,17.6,11.4,15.9
2021-03-17,19.8,12.0,3.5
2021-03-18,20.2,11.6,7.9
2021-03-19,19.4,11.4,2.6
2021-03-20,19.6,11.2,0.0
2021-03-21,16.6,11.2,1.0
2021-03-22,19.2,11.4,6.7
2021-03-23,21.6,12.4,31.5
2021-03-24,19.8,12.0,0.5
2021-03-25,22.2,10.6,0.4
2021-03-26,21.2,11.8,14.4
2021-03-27,19.6,12.4,7.4
2021-03-28,20.4,13.0,2.2
2021-03-29,18.2,14.0,1.8
2021-03-30,21.8,13.0,0.0
2021-03-31,23.0,13.4,0.0
2021-04-01,23.2,13.2,1.9
2021-04-02,21.6,13.2,1.4
2021-04-03,20.0,14.0,12.0
2021-04-04,21.2,12.0,5.4
2021-04-05,23.2,12.4,16.2
2021-04-06,21.0,13.4,0.0
2021-04-07,21.8,13.0,0.0
2021-04-08,20.4,12.8,1.5
2021-04-09,20.2,13.0,11.3
2021-04-10,20.6,13.2,0.5
2021-04-11,22.6,12.6,3.1
2021-04-12,25.6,13.0,0.0
2021-04-13,26.2,13.6,0.0
2021-04-14,24.6,13.2,2.8
2021-04-15,18.6,11.8,1.0
2021-04-16,19.6,11.4,0.0
2021-04-17,22.6,12.4,0.0
2021-04-18,20.6,12.2,2.0
2021-04-19,20.4,11.6,1.0
2021-04-20,20.8,11.4,0.0
2021-04-21,21.6,11.2,0.0
2021-04-22,21.8,12.4,0.0
2021-04-23,21.6,12.6,2.0
2021-04-24,20.6,12.6,1.8
2021-04-25,19.8,13.6,2.9
2021-04-26,22.0,12.2,0.0
2021-04-27,21.2,12.8,1.0
2021-04-28,21.0,13.4,0.0
2021-04-29,19.2,11.4,0.0
2021-04-30,18.0,12.8,2.4
2021-05-01,18.8,13.0,11.8
2021-05-02,21.0,11.2,6.6
2021-05-03,19.6,11.2,5.3
2021-05-04,21.2,11.4,1.2
2021-05-05,21.8,12.2,8.0
2021-05-06,21.2,12.0,4.4
2021-05-07,20.2,11.6,4.0
2021-05-08,21.2,12.4,0.0
2021-05-09,26.0,12.0,0.0
2021-05-10,25.8,12.6,0.0
2021-05-11,21.2,11.6,0.0
2021-05-12,23.8,11.8,0.0
2021-05-13,21.6,12.4,0.0
2021-05-14,22.2,12.2,1.8
2021-05-15,20.4,11.6,1.8
2021-05-16,20.6,13.4,14.3
2021-05-17,22.2,12.4,0.9
2021-05-18,18.0,13.2,10.8
2021-05-19,23.8,12.4,0.0
2021-05-20,22.0,12.6,0.0
2021-05-21,24.2,12.4,0.0
2021-05-22,20.2,13.0,5.4
2021-05-23,19.8,13.0,2.6
2021-05-24,21.0,12.4,0.0
2021-05-25,20.6,12.0,0.0
2021-05-26,23.6,11.0,0.0
2021-05-27,22.8,12.0,0.0
2021-05-28,21.8,11.8,0.0
2021-05-29,21.6,10.8,0.0
2021-05-30,21.0,11.8,0.0
2021-05-31,20.2,12.2,1.0
2021-06-01,21.4,12.4,0.0
2021-06-02,22.4,13.2,0.0
2021-06-03,22.8,12.4,0.0
2021-06-04,21.2,12.4,0.0
2021-06-05,22.2,12.0,0.0
2021-06-06,22.8,13.4,0.4
2021-06-07,19.6,13.2,5.3
2021-06-08,21.6,13.0,2.6
2021-06-09,18.0,10.8,2.0
2021-06-10,21.6,12.0,0.0
2021-06-11,21.4,11.4,0.0
2021-06-12,22.2,13.2,0.0
2021-06-13,21.4,12.4,0.0
