Fecha,Tmax,Tmin,PP
2021-01-01,22.3,11.8,1.2
2021-01-02,23.5,11.6,6.0
2021-01-03,22.8,10.2,1.0
2021-01-04,21.2,12.2,0.0
2021-01-05,18.3,11.7,0.0
2021-01-06,18.2,9.6,0.0
2021-01-07,22.4,8.0,0.1
2021-01-08,20.5,12.2,2.9
2021-01-09,23.1,12.2,1.5
2021-01-10,23.7,10.9,0.0
2021-01-11,25.3,7.7,0.0
2021-01-12,25.3,9.6,6.9
2021-01-13,25.2,11.7,2.7
2021-01-14,24.0,11.3,9.0
2021-01-15,23.4,13.0,24.3
2021-01-16,18.9,12.4,0.5
2021-01-17,22.8,11.4,0.6
2021-01-18,20.4,13.1,5.6
2021-01-19,22.7,12.4,4.6
2021-01-20,21.7,12.7,5.0
2021-01-21,22.6,12.6,10.3
2021-01-22,23.0,12.1,0.1
2021-01-23,21.2,10.9,0.0
2021-01-24,22.0,8.5,1.1
2021-01-25,23.6,11.7,0.2
2021-01-26,20.7,13.5,3.4
2021-01-27,22.6,11.5,9.2
2021-01-28,24.6,12.1,1.5
2021-01-29,22.6,12.8,0.4
2021-01-30,23.9,11.0,0.0
2021-01-31,23.5,9.4,0.0
2021-02-01,25.0,7.3,0.0
2021-02-02,24.4,9.8,2.5
2021-02-03,25.2,8.9,3.5
2021-02-04,24.6,11.2,9.8
2021-02-05,22.6,10.7,2.8
2021-02-06,24.0,11.8,0.0
2021-02-07,24.6,12.7,0.9
2021-02-08,22.7,9.7,0.0
2021-02-09,25.0,9.2,0.0
2021-02-10,22.2,9.1,0.0
2021-02-11,22.2,6.4,0.0
2021-02-12,24.8,12.9,0.0
2021-02-13,26.4,12.7,0.0
2021-02-14,25.1,10.7,0.0
2021-02-15,22.7,12.5,0.0
2021-02-16,21.8,8.7,0.0
2021-02-17,22.7,7.2,0.0
2021-02-18,23.4,5.8,0.0
2021-02-19,24.7,4.3,0.0
2021-02-20,26.0,4.1,0.0
2021-02-21,24.2,5.0,0.0
2021-02-22,18.7,11.3,0.0
2021-02-23,22.2,11.5,0.1
2021-02-24,25.0,11.4,0.0
2021-02-25,24.0,14.2,0.0
2021-02-26,26.1,9.8,0.0
2021-02-27,26.7,11.0,8.9
2021-02-28,25.4,13.4,23.0
2021-03-01,24.8,12.2,4.2
2021-03-02,20.3,12.4,5.7
2021-03-03,23.0,10.8,16.7
2021-03-04,21.7,11.3,5.8
2021-03-05,24.0,11.9,1.2
2021-03-06,22.5,10.4,0.1
2021-03-07,20.4,9.6,1.2
2021-03-08,24.6,12.0,7.2
2021-03-09,21.2,12.6,30.6
2021-03-10,19.1,10.6,3.9
2021-03-11,20.7,12.0,6.5
2021-03-12,21.7,11.7,2.1
2021-03-13,23.9,7.9,0.0
2021-03-14,22.3,9.2,0.0
2021-03-15,20.8,11.5,6.3
2021-03-16,21.7,10.8,12.4
2021-03-17,18.7,11.5,4.4
2021-03-18,22.5,8.5,3.2
2021-03-19,21.4,11.7,1.3
2021-03-20,21.8,8.1,0.0
2021-03-21,15.6,8.3,1.7
2021-03-22,21.9,10.9,1.7
2021-03-23,23.5,10.1,3.8
2021-03-24,17.6,11.5,0.8
2021-03-25,22.8,9.7,0.0
2021-03-26,24.8,9.0,7.2
2021-03-27,21.6,12.8,2.8
2021-03-28,24.3,11.2,0.3
2021-03-29,22.2,12.1,9.0
2021-03-30,23.4,12.7,0.5
2021-03-31,21.3,10.7,2.2
2021-04-01,21.5,12.1,4.9
2021-04-02,24.9,12.1,5.0
2021-04-03,21.3,12.8,5.9
2021-04-04,23.4,10.5,0.0
2021-04-05,23.4,10.1,9.6
2021-04-06,21.4,12.3,0.5
2021-04-07,24.7,11.7,0.0
2021-04-08,24.4,12.4,0.5
2021-04-09,25.7,11.4,1.0
2021-04-10,23.6,12.5,0.0
2021-04-11,22.3,10.9,8.2
2021-04-12,23.2,9.2,0.0
2021-04-13,24.8,11.5,0.0
2021-04-14,24.8,9.4,4.8
2021-04-15,24.8,10.3,0.0
2021-04-16,22.8,7.8,0.4
2021-04-17,25.4,9.2,0.0
2021-04-18,26.2,10.4,2.7
2021-04-19,22.9,10.9,0.0
2021-04-20,24.9,7.5,0.0
2021-04-21,23.5,8.4,0.0
2021-04-22,24.0,10.3,0.2
2021-04-23,24.8,9.7,0.4
2021-04-24,24.2,11.2,1.8
2021-04-25,24.7,10.6,3.0
2021-04-26,22.8,11.1,8.2
2021-04-27,22.7,12.1,0.0
2021-04-28,22.6,10.6,1.5
2021-04-29,22.8,10.0,0.1
2021-04-30,25.3,8.6,0.0
2021-05-01,25.0,11.4,2.9
2021-05-02,24.4,9.2,0.0
2021-05-03,23.4,7.9,9.9
2021-05-04,24.1,9.6,0.9
2021-05-05,23.7,9.1,14.0
2021-05-06,24.4,9.7,3.5
2021-05-07,22.7,10.1,1.1
2021-05-08,24.7,11.1,0.0
2021-05-09,23.2,7.4,0.0
2021-05-10,23.5,6.7,0.0
2021-05-11,22.1,6.4,0.0
2021-05-12,21.7,6.3,0.0
2021-05-13,22.5,9.3,0.0
2021-05-14,23.4,10.9,0.0
2021-05-15,23.7,10.8,4.9
2021-05-16,22.7,12.4,0.5
2021-05-17,25.7,9.8,5.4
2021-05-18,21.6,12.2,0.6
2021-05-19,26.3,9.0,0.0
2021-05-20,24.5,8.1,0.0
2021-05-21,26.2,7.4,0.0
2021-05-22,24.5,10.8,1.2
2021-05-23,21.2,11.9,3.8
2021-05-24,21.7,8.2,1.0
2021-05-25,23.0,10.5,0.0
2021-05-26,26.4,6.5,0.0
2021-05-27,26.5,5.9,0.0
2021-05-28,25.9,8.0,0.0
2021-05-29,25.7,6.5,0.0
2021-05-30,25.2,7.9,0.0
