Fecha,Tmax,Tmin,PP
2021-01-01,30.0,17.4,0.7
2021-01-02,28.6,18.2,1.3
2021-01-03,30.8,18.0,0.0
2021-01-04,27.0,18.8,0.0
2021-01-05,25.4,18.0,0.0
2021-01-06,24.4,17.6,0.0
2021-01-07,28.4,15.8,1.4
2021-01-08,26.4,17.4,2.4
2021-01-09,26.8,17.6,3.8
2021-01-10,29.6,17.5,0.0
2021-01-11,30.4,16.7,0.0
2021-01-12,28.4,18.0,5.8
2021-01-13,28.2,17.0,1.1
2021-01-14,29.4,18.2,10.8
2021-01-15,26.0,17.7,7.6
2021-01-16,23.0,18.0,2.8
2021-01-17,26.0,17.4,1.6
2021-01-18,23.2,18.0,6.2
2021-01-19,27.0,18.1,2.1
2021-01-20,24.2,18.0,1.3
2021-01-21,25.6,17.5,11.0
2021-01-22,25.4,17.6,0.0
2021-01-23,26.6,18.4,0.0
2021-01-24,30.0,18.8,0.6
2021-01-25,25.8,17.5,3.0
2021-01-26,26.2,18.0,0.6
2021-01-27,28.2,19.0,8.8
2021-01-28,28.4,17.8,7.8
2021-01-29,27.4,18.3,2.9
2021-01-30,27.0,17.0,7.4
2021-01-31,30.2,17.3,0.0
2021-02-01,30.6,16.2,0.0
2021-02-02,31.6,17.0,0.0
2021-02-03,31.8,16.4,0.0
2021-02-04,30.6,17.2,3.2
2021-02-05,29.2,17.7,4.9
2021-02-06,27.0,17.3,0.0
2021-02-07,29.8,18.2,2.4
2021-02-08,29.0,16.2,0.0
2021-02-09,30.6,17.0,0.0
2021-02-10,29.2,19.0,0.0
2021-02-11,29.4,15.6,0.0
2021-02-12,25.2,19.0,0.0
2021-02-13,31.4,17.2,0.0
2021-02-14,30.4,19.6,0.0
2021-02-15,29.4,18.8,0.0
2021-02-16,30.5,18.0,4.5
2021-02-17,31.4,15.0,0.0
2021-02-18,31.6,15.8,0.0
2021-02-19,31.6,14.4,0.0
2021-02-20,29.0,15.7,0.0
2021-02-21,29.6,17.2,0.0
2021-02-22,26.8,18.3,0.0
2021-02-23,27.8,18.4,0.0
2021-02-24,29.2,17.6,0.0
2021-02-25,29.8,18.5,0.0
2021-02-26,30.4,18.8,0.0
2021-02-27,31.0,19.8,2.4
2021-02-28,29.0,18.8,12.8
2021-03-01,25.2,18.2,7.3
2021-03-02,28.0,18.0,8.8
2021-03-03,29.0,17.7,6.9
2021-03-04,27.0,18.6,10.0
2021-03-05,28.9,18.2,0.0
2021-03-06,27.2,18.0,0.0
2021-03-07,26.0,18.5,13.6
2021-03-08,28.8,17.6,7.8
2021-03-09,24.8,17.0,16.6
2021-03-10,25.8,16.8,6.0
2021-03-11,26.6,17.0,11.0
2021-03-12,27.0,17.1,1.5
2021-03-13,28.4,18.3,0.0
2021-03-14,29.0,17.5,0.0
2021-03-15,26.0,18.0,10.0
2021-03-16,24.0,17.0,10.4
2021-03-17,25.0,16.4,1.2
2021-03-18,27.4,16.0,4.3
2021-03-19,27.3,18.0,0.0
2021-03-20,28.6,17.2,0.0
2021-03-21,27.4,15.0,0.0
2021-03-22,28.4,17.2,0.0
2021-03-23,28.2,18.6,1.2
2021-03-24,25.0,17.8,0.0
2021-03-25,29.8,16.5,0.0
2021-03-26,31.0,17.8,14.9
2021-03-27,27.2,17.7,1.4
2021-03-28,27.8,18.2,0.0
2021-03-29,26.6,18.6,2.8
2021-03-30,25.6,16.8,0.0
2021-03-31,28.6,17.8,0.0
2021-04-01,27.4,17.7,2.4
2021-04-02,28.4,18.0,0.0
2021-04-03,27.6,18.5,7.0
2021-04-04,28.2,18.2,0.0
2021-04-05,28.4,18.0,6.9
2021-04-06,29.0,18.3,11.4
2021-04-07,28.2,18.2,0.3
2021-04-08,27.0,18.8,0.5
2021-04-09,28.2,18.2,7.9
2021-04-10,25.8,18.5,0.0
2021-04-11,28.2,18.8,2.8
2021-04-12,29.2,15.6,0.0
2021-04-13,29.8,17.5,0.0
2021-04-14,30.8,16.8,1.5
2021-04-15,24.8,18.7,0.0
2021-04-16,28.0,17.2,0.0
2021-04-17,30.4,16.5,0.0
2021-04-18,27.4,17.5,2.3
2021-04-19,27.8,17.2,0.0
2021-04-20,30.8,16.0,0.0
2021-04-21,31.2,17.8,0.0
2021-04-22,30.0,18.6,1.5
2021-04-23,30.2,17.8,0.0
2021-04-24,29.4,18.0,0.0
2021-04-25,27.2,18.8,2.6
2021-04-26,29.0,18.0,0.0
2021-04-27,28.8,18.4,0.0
2021-04-28,29.6,18.0,0.0
2021-04-29,29.2,17.4,0.0
2021-04-30,27.8,17.8,0.0
2021-05-01,27.6,18.2,4.4
2021-05-02,28.6,16.0,0.4
2021-05-03,26.4,16.2,1.3
2021-05-04,29.8,16.0,0.8
2021-05-05,30.4,16.2,1.2
2021-05-06,28.2,17.0,1.1
2021-05-07,27.0,16.4,0.3
2021-05-08,29.6,17.2,0.0
2021-05-09,30.4,15.2,0.0
2021-05-10,29.4,15.0,0.0
2021-05-11,27.0,14.8,0.0
2021-05-12,29.4,15.2,0.0
2021-05-13,28.4,15.0,0.0
2021-05-14,28.8,16.0,0.4
2021-05-15,28.4,18.0,1.3
2021-05-16,26.8,18.2,0.8
2021-05-17,29.0,16.6,0.3
2021-05-18,27.4,18.8,0.0
2021-05-19,30.6,18.4,0.0
2021-05-20,29.3,16.4,0.0
