Fecha,Tmax,Tmin,PP
2021-01-01,19.8,10.8,0.0
2021-01-02,19.4,10.9,7.6
2021-01-03,19.0,10.4,3.2
2021-01-04,20.5,11.0,0.0
2021-01-05,18.8,9.2,0.0
2021-01-06,18.6,7.4,0.0
2021-01-07,19.8,8.4,0.0
2021-01-08,19.4,10.3,3.1
2021-01-09,20.0,11.2,3.3
2021-01-10,22.4,10.0,0.0
2021-01-11,22.0,6.7,0.0
2021-01-12,21.5,7.8,7.8
2021-01-13,18.0,10.1,7.4
2021-01-14,20.8,9.3,5.8
2021-01-15,19.5,11.3,27.3
2021-01-16,17.5,10.8,0.0
2021-01-17,19.4,11.4,0.0
2021-01-18,20.5,11.6,1.8
2021-01-19,19.2,11.6,8.7
2021-01-20,18.3,11.8,11.2
2021-01-21,20.2,11.1,6.4
2021-01-22,21.0,11.6,0.0
2021-01-23,19.2,9.9,0.0
2021-01-24,20.4,7.1,0.0
2021-01-25,21.0,8.1,0.7
2021-01-26,18.2,11.1,8.9
2021-01-27,19.5,10.2,11.4
2021-01-28,20.0,10.6,7.0
2021-01-29,20.8,11.2,5.9
2021-01-30,21.7,10.6,0.0
2021-01-31,20.6,8.3,0.0
2021-02-01,22.2,6.5,0.0
2021-02-02,23.5,8.0,0.0
2021-02-03,22.0,8.0,0.0
2021-02-04,21.8,8.6,13.2
2021-02-05,20.5,7.0,6.9
2021-02-06,20.7,10.1,0.0
2021-02-07,23.2,10.7,0.0
2021-02-08,23.0,8.5,0.0
2021-02-09,23.7,8.3,0.0
2021-02-10,24.0,8.1,0.0
2021-02-11,21.4,5.6,0.0
2021-02-12,19.6,6.8,0.0
2021-02-13,23.0,11.0,0.0
2021-02-14,21.8,9.8,0.0
2021-02-15,21.8,9.8,0.0
2021-02-16,21.0,7.6,0.0
2021-02-17,21.2,6.4,0.0
2021-02-18,22.0,5.0,0.0
2021-02-19,23.2,3.4,0.0
2021-02-20,24.8,3.2,0.0
2021-02-21,22.6,4.0,0.0
2021-02-22,16.5,5.2,0.0
2021-02-23,18.7,10.0,5.6
2021-02-24,20.7,9.5,0.0
2021-02-25,21.0,10.4,0.0
2021-02-26,23.6,7.6,0.0
2021-02-27,23.3,8.0,7.2
2021-02-28,22.0,10.0,27.4
2021-03-01,21.0,11.4,4.3
2021-03-02,19.0,11.6,9.9
2021-03-03,20.8,10.1,10.8
2021-03-04,19.6,9.9,6.1
2021-03-05,20.0,10.2,4.5
2021-03-06,20.4,8.0,3.2
2021-03-07,20.8,7.9,1.9
2021-03-08,22.04,9.6,24.0
2021-03-09,17.7,11.2,40.2
2021-03-10,18.2,9.4,1.5
2021-03-11,18.5,9.8,3.5
2021-03-12,20.3,10.8,0.6
2021-03-13,21.6,7.8,0.0
2021-03-14,21.7,8.2,0.4
2021-03-15,18.2,9.3,10.9
2021-03-16,17.6,9.8,11.3
2021-03-17,17.0,10.2,4.5
2021-03-18,20.7,6.5,0.0
2021-03-19,19.5,7.1,1.5
2021-03-20,20.2,6.2,0.0
2021-03-21,15.3,6.9,0.9
2021-03-22,20.2,9.3,6.4
2021-03-23,18.5,10.2,1.8
2021-03-24,16.6,10.2,1.5
2021-03-25,21.0,6.5,0.5
2021-03-26,21.6,7.8,3.0
2021-03-27,21.6,7.7,1.5
2021-03-28,21.2,9.8,3.5
2021-03-29,20.7,10.8,6.8
2021-03-30,19.5,11.4,4.4
2021-03-31,18.5,9.0,2.0
2021-04-01,19.0,11.2,6.9
2021-04-02,21.2,11.1,8.5
2021-04-03,20.3,11.4,6.5
2021-04-04,19.6,9.0,0.0
2021-04-05,19.2,8.1,5.0
2021-04-06,19.7,9.3,1.0
2021-04-07,22.5,9.6,0.0
2021-04-08,22.8,10.8,0.2
2021-04-09,22.3,10.2,0.8
2021-04-10,19.8,10.5,0.0
2021-04-11,20.8,9.3,0.6
2021-04-12,20.3,8.0,0.0
2021-04-13,22.0,9.0,0.0
2021-04-14,23.0,8.2,0.0
2021-04-15,22.4,8.5,0.0
2021-04-16,20.0,6.5,0.2
2021-04-17,22.8,7.3,0.0
2021-04-18,22.8,7.7,5.0
2021-04-19,21.0,9.6,0.0
2021-04-20,22.6,5.9,0.0
2021-04-21,21.2,7.0,1.0
2021-04-22,22.8,7.7,0.0
2021-04-23,22.7,8.6,1.1
2021-04-24,20.5,9.8,0.6
2021-04-25,23.8,9.0,0.5
2021-04-26,21.0,9.5,16.6
2021-04-27,19.2,10.3,2.3
2021-04-28,21.3,9.6,2.3
2021-04-29,20.0,10.5,1.9
2021-04-30,22.2,8.0,0.0
2021-05-01,22.5,7.7,2.4
2021-05-02,21.6,7.7,2.8
2021-05-03,21.0,6.8,8.0
2021-05-04,21.6,7.8,0.5
2021-05-05,21.6,8.3,12.4
2021-05-06,21.0,8.0,2.1
2021-05-07,20.0,8.5,1.7
2021-05-08,20.0,9.5,0.0
2021-05-09,19.5,6.0,0.0
2021-05-10,19.4,5.4,0.0
2021-05-11,19.3,5.3,0.0
2021-05-12,19.4,5.1,0.0
2021-05-13,20.2,8.2,0.0
2021-05-14,21.5,8.8,1.4
2021-05-15,18.0,9.5,2.7
2021-05-16,19.2,11.0,1.9
2021-05-17,21.3,8.2,9.1
2021-05-18,18.4,10.0,1.2
2021-05-19,23.2,7.6,0.0
2021-05-20,22.3,6.5,0.0
2021-05-21,23.0,5.8,0.0
2021-05-22,22.8,7.1,0.0
2021-05-23,19.0,10.0,2.5
2021-05-24,19.4,7.3,1.4
2021-05-25,21.4,8.6,0.0
2021-05-26,22.4,4.8,0.0
2021-05-27,23.0,4.5,0.0
2021-05-28,23.5,5.3,0.0
2021-05-29,23.3,5.2,0.0
2021-05-30,21.6,5.9,0.0
2021-05-31,21.5,8.5,0.0
2021-06-01,21.0,8.5,0.0
2021-06-02,21.8,7.7,0.2
2021-06-03,19.4,5.7,0.0
2021-06-04,19.2,7.8,3.6
2021-06-05,19.7,6.7,0.9
2021-06-06,19.0,8.3,3.9
2021-06-07,19.0,10.0,2.3
2021-06-08,17.2,10.3,1.4
2021-06-09,21.6,8.2,0.0
2021-06-10,21.6,8.2,0.7
2021-06-11,21.0,6.8,0.0
2021-06-12,19.5,7.7,0.0
2021-06-13,18.4,9.9,2.4
2021-06-14,22.2,4.3,0.0
2021-06-15,21.5,4.9,0.0
2021-06-16,19.0,5.8,0.0
2021-06-17,19.5,4.9,0.0
2021-06-18,19.6,5.6,0.0
2021-06-19,19.0,7.6,0.0
2021-06-20,19.0,8.0,0.0
2021-06-21,21.2,5.6,0.0
2021-06-22,21.5,4.6,0.0
2021-06-23,23.0,3.8,0.0
2021-06-24,22.5,3.8,0.0
2021-06-25,22.0,4.6,0.0
2021-06-26,22.3,4.1,0.0
2021-06-27,20.4,4.3,0.4
2021-06-28,21.5,4.3,0.0
2021-06-29,18.8,4.3,0.6
2021-06-30,20.7,8.3,0.0
2021-07-01,20.5,3.2,0.0
2021-07-02,21.0,2.2,0.0
2021-07-03,21.5,1.1,0.0
2021-07-04,21.7,0.0,0.0
2021-07-05,23.4,1.0,0.0
2021-07-06,22.5,2.0,0.0
2021-07-07,22.5,2.2,0.0
2021-07-08,21.5,2.7,0.0
2021-07-09,20.7,3.5,0.3
2021-07-10,19.7,4.3,0.0
2021-07-11,19.0,6.0,0.0
2021-07-12,16.7,6.9,2.5
2021-07-13,18.4,4.0,0.0
2021-07-14,21.5,3.0,0.0
2021-07-15,22.8,3.5,0.0
2021-07-16,22.3,3.4,0.0
2021-07-17,20.6,4.1,1.8
2021-07-18,19.8,6.8,0.0
2021-07-19,19.8,5.2,0.0
2021-07-20,21.5,4.0,0.0
2021-07-21,21.4,2.8,0.0
2021-07-22,21.6,3.0,0.0
2021-07-23,22.7,1.8,0.0
2021-07-24,24.0,0.9,0.0
2021-07-25,23.5,1.2,0.0
2021-07-26,21.8,3.2,0.0
2021-07-27,21.5,3.3,0.0
2021-07-28,23.0,3.2,0.0
2021-07-29,20.5,3.7,0.0
2021-07-30,22.3,4.8,0.0
2021-07-31,21.0,5.2,0.0
2021-08-01,19.5,9.0,0.0
2021-08-02,18.7,8.3,0.0
2021-08-03,20.7,1.8,0.0
2021-08-04,20.0,1.8,0.0
2021-08-05,22.4,1.0,0.0
2021-08-06,24.2,2.2,0.0
2021-08-07,25.0,2.2,0.0
2021-08-08,24.6,3.3,0.0
2021-08-09,22.4,3.0,0.0
2021-08-10,20.2,4.0,0.0
2021-08-11,19.6,5.3,0.0
2021-08-12,21.6,5.3,0.0
2021-08-13,22.0,6.1,0.0
2021-08-14,20.8,6.0,1.2
2021-08-15,20.8,10.6,0.0
2021-08-16,20.2,5.0,0.0
2021-08-17,23.2,3.6,0.0
2021-08-18,22.5,4.8,0.0
2021-08-19,22.0,3.9,0.0
2021-08-20,24.4,4.7,0.0
2021-08-21,22.0,4.2,0.0
2021-08-22,23.0,4.0,0.0
2021-08-23,24.2,3.4,2.1
2021-08-24,22.7,7.1,1.2
2021-08-25,23.6,7.8,0.0
2021-08-26,23.0,8.2,0.0
2021-08-27,21.2,6.0,0.0
2021-08-28,22.8,5.9,0.0
2021-08-29,22.2,7.9,6.9
2021-08-30,21.6,8.5,6.9
2021-08-31,21.8,8.6,0.0
2021-09-01,22.2,4.7,0.0
2021-09-02,22.7,5.9,0.0
2021-09-03,22.7,6.1,9.0
2021-09-04,24.3,6.8,0.0
2021-09-05,23.6,6.6,0.9
2021-09-06,23.0,7.9,0.0
2021-09-07,22.0,7.7,0.0
2021-09-08,21.8,4.8,0.5
2021-09-09,20.0,6.7,2.7
2021-09-10,21.7,9.5,6.8
2021-09-11,15.8,10.1,6.5
2021-09-12,22.0,11.2,0.0
2021-09-13,22.8,10.1,0.0
2021-09-14,22.0,9.2,10.0
2021-09-15,23.4,6.6,0.0
2021-09-16,22.7,8.6,1.5
2021-09-17,19.6,8.8,0.0
2021-09-18,23.3,4.5,0.0
2021-09-19,22.0,6.4,2.8
2021-09-20,21.3,5.2,0.0
2021-09-21,22.0,6.6,0.0
2021-09-22,20.0,9.8,0.0
2021-09-23,19.6,8.9,0.0
2021-09-24,21.7,5.1,0.0
2021-09-25,21.5,7.3,0.0
2021-09-26,24.0,7.2,0.0
2021-09-27,24.7,4.7,0.0
2021-09-28,24.5,4.7,0.0
2021-09-29,23.0,5.6,0.3
2021-09-30,22.8,5.8,0.0
2021-10-01,23.8,5.8,3.0
2021-10-02,22.4,9.2,0.2
2021-10-03,20.5,8.0,0.4
2021-10-04,20.0,9.2,5.6
2021-10-05,19.2,11.4,6.3
2021-10-06,19.3,11.8,2.6
2021-10-07,22.0,10.0,0.0
2021-10-08,22.2,9.7,4.7
2021-10-09,20.3,11.8,1.3
2021-10-10,21.8,11.4,0.0
2021-10-11,23.7,7.2,0.0
2021-10-12,25.3,8.1,0.0
2021-10-13,25.8,9.6,0.0
2021-10-14,26.0,11.9,32.9
2021-10-15,20.5,9.6,1.9
2021-10-16,21.2,9.3,8.5
2021-10-17,21.8,10.8,4.6
2021-10-18,19.6,9.7,6.9
2021-10-19,20.7,10.2,18.7
2021-10-20,17.7,10.3,5.5
2021-10-21,20.5,10.2,5.1
2021-10-22,21.1,10.2,9.7
2021-10-23,20.2,10.6,1.6
2021-10-24,23.2,8.9,1.3
2021-10-25,20.5,8.5,5.7
2021-10-26,23.2,8.2,0.0
2021-10-27,23.2,9.1,1.0
2021-10-28,22.2,11.2,0.0
2021-10-29,22.2,9.4,1.0
2021-10-30,22.4,10.0,1.5
2021-10-31,22.7,8.6,0.0
2021-11-01,21.2,11.9,0.0
2021-11-02,22.5,9.7,2.1
2021-11-03,23.5,11.3,20.6
2021-11-04,18.4,11.0,2.6
2021-11-05,20.2,9.0,2.5
2021-11-06,18.2,11.5,2.2
2021-11-07,22.3,9.6,0.8
2021-11-08,22.2,10.8,1.7
2021-11-09,21.5,11.8,0.0
2021-11-10,24.0,6.7,0.0
2021-11-11,20.7,9.3,0.0
2021-11-12,22.1,9.0,0.0
2021-11-13,23.2,11.0,0.0
2021-11-14,20.3,11.8,2.1
2021-11-15,22.2,11.6,0.0
2021-11-16,21.5,11.8,0.0
2021-11-17,22.8,10.1,0.0
2021-11-18,21.6,9.8,0.0
2021-11-19,21.7,4.4,0.0
2021-11-20,23.2,9.2,0.0
2021-11-21,19.6,11.2,4.2
2021-11-22,21.2,10.2,0.0
2021-11-23,20.7,10.4,24.8
2021-11-24,15.0,10.0,4.2
2021-11-25,19.6,10.4,3.7
2021-11-26,19.8,12.0,2.3
2021-11-27,21.7,10.3,4.4
2021-11-28,17.8,10.2,6.1
2021-11-29,21.5,10.6,0.3
2021-11-30,22.7,7.8,0.0
2021-12-01,20.7,6.9,0.0
2021-12-02,22.8,8.9,0.0
2021-12-03,20.4,11.2,1.4
2021-12-04,21.8,11.4,1.7
2021-12-05,18.2,12.0,17.7
2021-12-06,21.2,11.3,9.3
2021-12-07,21.2,10.8,0.0
2021-12-08,22.7,9.5,0.0
2021-12-09,22.6,7.8,3.8
2021-12-10,21.5,9.8,6.4
2021-12-11,20.0,12.4,0.0
2021-12-12,19.9,12.0,0.0
2021-12-13,22.8,7.8,0.0
2021-12-14,23.7,5.8,0.0
2021-12-15,23.0,8.4,0.0
2021-12-16,23.6,10.2,2.2
2021-12-17,20.6,11.6,6.2
2021-12-18,20.5,11.3,8.4
2021-12-19,20.2,12.6,3.2
2021-12-20,19.5,11.7,3.2
2021-12-21,22.2,7.5,0.0
2021-12-22,24.0,7.2,0.0
2021-12-23,22.8,8.5,16.6
2021-12-24,22.8,9.9,0.0
2021-12-25,23.6,6.2,0.0
2021-12-26,25.0,5.5,0.0
2021-12-27,24.7,4.1,0.0
2021-12-28,20.0,7.0,0.0
2021-12-29,22.0,9.2,0.0
2021-12-30,22.5,7.2,0.0
2021-12-31,23.4,9.3,10.2
2022-01-01,21.0,10.6,8.6
2022-01-02,23.7,7.4,0.0
2022-01-03,23.6,8.4,0.0
2022-01-04,22.2,12.0,0.0
2022-01-05,23.5,10.6,0.0
2022-01-06,22.3,8.5,0.0
2022-01-07,23.8,8.2,0.0
2022-01-08,23.4,8.3,0.0
2022-01-09,20.6,9.9,0.0
2022-01-10,21.8,9.4,0.0
2022-01-11,23.5,7.5,0.0
2022-01-12,22.2,7.4,0.0
2022-01-13,24.0,4.8,5.0
2022-01-14,21.7,7.1,0.0
2022-01-15,20.4,9.5,0.0
2022-01-16,20.5,11.2,0.0
2022-01-17,23.9,5.0,0.0
2022-01-18,22.2,6.0,2.4
2022-01-19,21.6,6.0,1.7
2022-01-20,21.7,8.6,0.2
2022-01-21,22.2,12.0,8.9
2022-01-22,22.8,12.0,3.2
2022-01-23,20.2,11.1,0.6
2022-01-24,22.5,11.3,12.0
2022-01-25,20.8,11.7,13.9
2022-01-26,16.7,11.5,13.0
2022-01-27,23.0,8.3,0.0
2022-01-28,22.0,9.3,0.0
2022-01-29,21.2,8.6,0.0
2022-01-30,17.0,7.5,0.0
2022-01-31,22.2,4.1,0.0
2022-02-01,22.8,2.8,0.0
2022-02-02,21.8,3.9,0.0
