Fecha,Tmax,Tmin,PP
2021-01-01,19.3,8.4,3.1
2021-01-02,18.1,9.0,7.3
2021-01-03,16.6,9.2,2.1
2021-01-04,18.5,9.1,0.0
2021-01-05,15.0,7.0,0.0
2021-01-06,16.9,4.3,0.0
2021-01-07,17.3,6.0,0.2
2021-01-08,16.5,9.3,0.0
2021-01-09,19.0,8.7,7.6
2021-01-10,18.5,8.7,0.0
2021-01-11,19.8,4.4,0.0
2021-01-12,18.9,4.0,9.6
2021-01-13,18.5,7.4,0.3
2021-01-14,19.6,6.9,11.4
2021-01-15,18.6,9.5,19.0
2021-01-16,15.6,9.2,6.7
2021-01-17,18.9,10.0,2.7
2021-01-18,18.3,10.0,0.9
2021-01-19,19.0,10.3,0.0
2021-01-20,18.5,10.4,3.8
2021-01-21,19.0,9.7,9.5
2021-01-22,18.8,10.0,3.7
2021-01-23,17.8,8.8,0.0
2021-01-24,18.0,4.0,0.8
2021-01-25,19.3,7.6,0.9
2021-01-26,17.4,9.2,1.5
2021-01-27,19.2,8.2,13.9
2021-01-28,20.0,9.5,7.0
2021-01-29,20.1,9.7,4.5
2021-01-30,19.0,9.6,0.0
2021-01-31,18.8,6.7,0.0
2021-02-01,19.8,4.1,0.0
2021-02-02,21.2,5.2,0.0
2021-02-03,21.0,6.4,0.0
2021-02-04,20.1,7.8,26.4
2021-02-05,20.6,8.2,5.5
2021-02-06,20.0,8.3,0.0
2021-02-07,20.6,10.2,0.0
2021-02-08,21.5,5.4,0.0
2021-02-09,22.2,5.4,0.0
2021-02-10,19.9,5.1,0.0
2021-02-11,20.2,2.8,0.0
2021-02-12,20.5,3.6,0.0
2021-02-13,22.5,8.7,0.0
2021-02-14,22.4,7.0,0.0
2021-02-15,20.7,9.8,0.0
2021-02-16,19.6,4.5,0.0
2021-02-17,19.3,3.2,0.0
2021-02-18,20.4,1.7,0.0
2021-02-19,20.5,0.2,0.0
2021-02-20,23.0,0.3,0.0
2021-02-21,19.8,1.5,0.0
2021-02-22,16.0,8.4,0.0
2021-02-23,18.3,7.9,1.6
2021-02-24,18.7,8.4,0.0
2021-02-25,19.4,10.4,0.0
2021-02-26,21.2,4.4,0.0
2021-02-27,19.8,6.0,19.2
2021-02-28,17.2,11.7,33.2
2021-03-01,16.4,9.9,20.7
2021-03-02,17.9,9.5,13.8
2021-03-03,19.0,8.2,2.9
2021-03-04,18.5,6.4,7.1
2021-03-05,19.7,9.6,2.9
2021-03-06,18.0,6.4,0.0
2021-03-07,16.8,5.2,4.3
2021-03-08,18.3,8.7,29.5
2021-03-09,17.8,9.7,50.9
2021-03-10,17.2,7.0,2.8
2021-03-11,17.3,8.6,5.5
2021-03-12,18.3,9.5,0.9
2021-03-13,21.4,6.5,0.0
2021-03-14,20.6,5.9,6.0
2021-03-15,18.2,8.2,15.4
2021-03-16,15.4,7.8,13.4
2021-03-17,17.5,8.6,6.5
2021-03-18,17.6,3.8,1.3
2021-03-19,18.0,9.3,0.9
2021-03-20,17.6,4.1,0.0
2021-03-21,14.8,4.2,2.1
2021-03-22,18.5,7.0,3.0
2021-03-23,17.4,6.8,2.1
2021-03-24,17.0,9.1,2.0
2021-03-25,19.7,2.7,4.6
2021-03-26,19.9,4.5,33.4
2021-03-27,19.8,9.3,1.5
2021-03-28,19.6,8.3,0.0
2021-03-29,18.6,5.6,2.9
2021-03-30,17.7,9.8,1.3
2021-03-31,18.2,7.4,1.4
2021-04-01,18.7,9.5,10.7
2021-04-02,20.7,10.2,0.0
2021-04-03,19.0,9.0,4.3
2021-04-04,17.0,6.0,2.4
2021-04-05,18.0,6.3,12.8
2021-04-06,18.8,9.5,0.9
2021-04-07,20.5,7.4,2.3
2021-04-08,20.2,8.7,0.0
2021-04-09,19.0,7.3,4.0
2021-04-10,18.6,8.3,3.5
2021-04-11,19.3,6.8,0.0
2021-04-12,18.3,6.6,0.0
2021-04-13,19.0,9.5,0.0
2021-04-14,19.9,6.1,4.6
2021-04-15,19.4,4.8,0.0
2021-04-16,18.9,3.2,0.0
2021-04-17,19.4,3.7,0.0
2021-04-18,19.6,3.4,8.4
2021-04-19,18.5,6.0,8.4
2021-04-20,18.6,3.8,1.0
2021-04-21,19.5,3.7,11.4
2021-04-22,20.2,7.0,0.0
2021-04-23,21.2,6.8,19.1
2021-04-24,17.8,5.6,0.0
2021-04-25,20.5,6.3,2.5
2021-04-26,18.5,6.9,13.6
2021-04-27,18.0,9.0,0.0
2021-04-28,20.5,6.7,0.0
2021-04-29,19.3,6.8,0.5
2021-04-30,19.7,4.6,0.0
2021-05-01,18.5,5.4,8.5
2021-05-02,20.4,5.5,0.6
2021-05-03,17.6,3.7,21.2
2021-05-04,19.8,5.3,5.0
2021-05-05,18.0,4.4,12.7
2021-05-06,18.5,5.5,0.0
2021-05-07,18.6,6.1,3.4
2021-05-08,17.8,8.6,1.8
2021-05-09,18.0,8.0,0.0
2021-05-10,19.8,8.8,0.0
2021-05-11,17.3,7.9,0.0
2021-05-12,17.6,8.3,0.0
2021-05-13,18.7,6.5,0.0
2021-05-14,20.8,7.8,0.6
2021-05-15,17.6,8.8,2.8
2021-05-16,18.0,9.8,1.5
2021-05-17,20.1,5.4,17.4
2021-05-18,16.9,9.3,4.5
2021-05-19,19.0,6.0,0.0
2021-05-20,18.6,3.4,0.0
2021-05-21,21.3,4.3,0.0
