Fecha,Tmax,Tmin,PP
2022-01-01,21.5,11.3,0.9
2022-01-02,19.7,9.5,0.0
2022-01-03,20.5,11.3,0.0
2022-01-04,18.6,11.1,0.5
2022-01-05,21.9,9.2,0.0
2022-01-06,19.9,10.0,0.0
2022-01-07,21.5,10.9,0.6
2022-01-08,20.3,9.7,0.0
2022-01-09,20.9,9.8,0.0
2022-01-10,20.4,10.1,0.0
2022-01-11,21.5,9.2,0.0
2022-01-12,20.2,8.5,0.0
2022-01-13,20.4,8.2,0.0
2022-01-14,17.9,11.1,2.0
2022-01-15,17.1,10.8,4.2
2022-01-16,19.4,11.2,6.6
2022-01-17,22.9,9,3.4
2022-01-18,22,9.4,5.9
2022-01-19,22.1,9,1.4
2022-01-20,20.8,10.5,7.3
2022-01-21,21.2,12.3,3.8
2022-01-22,21.3,11.4,6.8
2022-01-23,20.1,10.8,6.3
2022-01-24,20.3,12.3,11.6
2022-01-25,18.8,12,9.1
2022-01-26,17.5,12.5,13.9
2022-01-27,17.4,10.7,2.8
2022-01-28,15.9,11.6,3.6
2022-01-29,17.3,9.7,0.0
2022-01-30,17.7,9.1,0.0
2022-01-31,19.1,6.4,0.0
2022-02-01,19.8, 7.2,0.0
2022-02-02,19.2,7.8,0.0
2022-02-03,18.5,10.6,0.0
2022-02-04,18.8,11.3,4.6
2022-02-05,20.4,9.4,2.8
2022-02-06,17.8,11.3,1.6
2022-02-07,16.4,11.9,8.8
2022-02-08,18.1,11.2,8.0
2022-02-09,18.3,11.4,5.2
2022-02-10,18.6,11.2,10.9
2022-02-11,19.4,12,2.5
2022-02-12,15.8,11.4,9.7
2022-02-13,18.3,11.7,3.3
2022-02-14,17.5,11.3,2.5
2022-02-15,17.9,12,0.3
2022-02-16,19.1,10.5,17.0
2022-02-17,19.0,11.5,4.4
2022-02-18,19.2,12.4,8.4
2022-02-19,21.2,11.1,0.0
2022-02-20,20.6,10.0,0.0
2022-02-21,17.2,8.2,0.0
2022-02-22,15.5,9.9,4.4
2022-02-23,16.7,10.5,6.4
2022-02-24,16.7,11.9,13.3
2022-02-25,15.9,11.8,12.2
2022-02-26,19.2,11.9,5.1
2022-02-27,18.2,12.4,5.6
2022-02-28,15.8,11.2,4.3
2022-03-01,18.8,11.3,7.7
2022-03-02,18.4,11.7,17.8
2022-03-03,20.9,11.4,13.7
2022-03-04,20.1,11.9,7.9
2022-03-05,17.9,11.5,1.6
2022-03-06,18.0,9.2,0.1
2022-03-07,19.5,9.9,10.7
2022-03-08,19.9,9.3,5.9
2022-03-09,18.9,9.3,0.1
2022-03-10,21.0,9.5,0.0
2022-03-11,21.7,10.0,3.2
2022-03-12,19.3,10.3,1.1
2022-03-13,18.6,11.3,2.5
2022-03-14,13.7,10.0,5.8
2022-03-15,18.9,8.9,9.3
2022-03-16,19.0,10,1.7
2022-03-17,21.6,8.4,0.0
2022-03-18,21.1,10.9,0.6
2022-03-19,20.2,12.1,0.5
2022-03-20,20.6,12.1,5.5
2022-03-21,18.1,10.6,7.5
2022-03-22,19.5,11.3,0.4
2022-03-23,21.3,10.5,0.1
2022-03-24,20.6,11.2,9.1
2022-03-25,19.3,9.9,10.0
2022-03-26,16.6,12.0,11.7
2022-03-27,17.3,10.8,19.9
2022-03-28,18.5,12.5,28.6
2022-03-29,20.0,11.5,0.1
2022-03-30,19.8,14.3,3.1
2022-03-31,17.8,15.5,1.3
2022-04-01,16.0,14.2,0.3
2022-04-02,19.5,16.1,0.0
2022-04-03,19.7,12.6,0.0
2022-04-04,19.6,11.1,0.5
2022-04-05,19.4,9.6,0.1
2022-04-06,20.5,12.5,0.0
2022-04-07,19.1,11.0,0.0
2022-04-08,19.3,10.9,6.2
2022-04-09,19.4,10.1,0.7
2022-04-10,19.2,12.8,9.1
2022-04-11,19.0,12.6,1.6
2022-04-12,20.5,11.9,3.9
2022-04-13,20.4,10.8,0.4
2022-04-14,20.1,10.6,3.2
2022-04-15,19.9,11.2,0.0
2022-04-16,20.9,10.4,0.0
2022-04-17,18.2,9.9,1.2
2022-04-18,18.4,9.4,0.0
2022-04-19,19.9,10.6,3.8
2022-04-20,19.3,11.4,2.0
2022-04-21,16.7,11.6,3.4
2022-04-22,19.0,11.0,1.4
2022-04-23,20.3,11.2,0.2
2022-04-24,18.2,11.3,3.9
2022-04-25,19.3,10.9,0.4
2022-04-26,20.8,10.0,1.7
2022-04-27,20.1,10.2,0.1
2022-04-28,18.5,10.9,0.0
2022-04-29,19.6,10.3,0.0
2022-04-30,22.0,11.9,0.0
2022-05-01,23.5,9.7,0.0
2022-05-02,21.3,10.9,0.0
2022-05-03,21.7,10.0,0.0
2022-05-04,18.5,10.2,0.0
2022-05-05,18.0,10.9,0.0
2022-05-06,20.7,9.4,0.0
2022-05-07,19.7,10.0,0.3
2022-05-08,19.5,9.9,0.0
2022-05-09,23.3,10.3,1.5
2022-05-10,20.1,10.2,0.3
2022-05-11,19.1,11.4,3.0
2022-05-12,19.6,12.7,3.9
2022-05-13,21.5,11.9,0.0
2022-05-14,19.8,10.4,2.2
2022-05-15,18.7,9.7,1.1
2022-05-16,19.8,10.6,1.8
2022-05-17,20.5,9.9,0.5
2022-05-18,18.3,12.2,3.2
2022-05-19,19.1,11.7,0.7
2022-05-20,21.6,9.4,0.0
2022-05-21,20.8,9.6,0.0
2022-05-22,21.2,8.9,0.0
2022-05-23,21.3,9.3,0.0
2022-05-24,22.5,8.2,0.0
2022-05-25,21.2,9.8,1.3
2022-05-26,19.8,12.2,0.3
2022-05-27,20.5,9.3,0.0
2022-05-28,20.6,10.2,0.0
2022-05-29,20.8,9.1,0.4
2022-05-30,21.6,9.2,0.0
2022-05-31,19.6,9.6,0.0
2022-06-01,19.8,8.9,0.0
2022-06-02,18.3,9.0,1.8
2022-06-03,18.5,11.3,5.4
2022-06-04,15.6,10.2,0.0
2022-06-05,19.3,11.4,0.0
2022-06-06,21.8,9.4,2.4
2022-06-07,18.3,11.6,0.0
2022-06-08,18.7,10.6,0.0
2022-06-09,18.6,11.9,2.9
