Fecha,Tmax,Tmin,PP
2021-01-01,30.6,18.0,0.8
2021-01-02,30.0,18.6,0.0
2021-01-03,30.6,18.0,0.0
2021-01-04,29.6,18.4,0.0
2021-01-05,30.2,18.6,0.0
2021-01-06,28.6,19.2,0.0
2021-01-07,30.0,18.8,0.0
2021-01-08,30.6,18.0,T
2021-01-09,30.4,18.4,T
2021-01-10,30.8,18.2,0.0
2021-01-11,30.6,18.6,0.0
2021-01-12,30.4,19.0,0.1
2021-01-13,31.0,18.8,0.0
2021-01-14,30.8,18.4,0.4
2021-01-15,31.0,18.2,5.6
2021-01-16,30.8,18.6,0.0
2021-01-17,31.0,19.0,T
2021-01-18,31.2,18.6,0.0
2021-01-19,31.0,19.0,0.2
2021-01-20,31.0,19.2,0.0
2021-01-21,30.8,19.0,T
2021-01-22,31.0,18.8,0.0
2021-01-23,30.6,19.0,0.0
2021-01-24,30.0,19.2,0.0
2021-01-25,29.6,19.0,0.0
2021-01-26,31.0,19.4,0.0
2021-01-27,31.2,19.6,5.7
2021-01-28,31.0,19.4,0.0
2021-01-29,30.2,20.2,0.0
2021-01-30,31.0,20.0,0.0
2021-01-31,30.8,20.2,0.0
2021-02-01,31.4,20.0,0.0
2021-02-02,31.2,21.0,0.0
2021-02-03,31.2,20.6,0.0
2021-02-04,30.6,20.2,0.0
2021-02-05,30.2,21.0,0.0
2021-02-06,30.6,21.2,0.0
2021-02-07,32.0,20.6,0.0
2021-02-08,31.8,21.6,0.0
2021-02-09,32.0,21.4,0.0
2021-02-10,31.8,21.2,0.0
2021-02-11,32.0,21.4,0.0
2021-02-12,32.0,20.8,0.0
2021-02-13,32.2,21.6,0.0
2021-02-14,30.6,20.6,0.0
2021-02-15,31.6,20.0,0.0
2021-02-16,31.2,20.2,0.0
2021-02-17,32.0,20.0,0.0
2021-02-18,31.6,20.6,0.0
2021-02-19,30.2,20.2,0.0
2021-02-20,29.8,19.8,0.0
2021-02-21,30.8,19.8,0.0
2021-02-22,30.8,19.6,0.0
2021-02-23,31.0,19.4,0.0
2021-02-24,30.8,19.2,0.0
2021-02-25,31.0,19.4,0.0
2021-02-26,30.8,19.4,0.0
2021-02-27,32.0,19.6,0.0
2021-02-28,30.6,19.4,0.0
2021-03-01,31.0,20.6,0.0
2021-03-02,32.4,19.8,0.0
2021-03-03,32.6,19.4,6.6
2021-03-04,32.6,19.2,5.5
2021-03-05,32.4,19.2,0.0
2021-03-06,31.4,19.6,0.0
2021-03-07,30.5,19.4,5.3
2021-03-08,30.8,19.8,8.1
2021-03-09,31.0,19.0,16.6
2021-03-10,29.4,19.6,0.0
2021-03-11,31.0,19.8,8.4
2021-03-12,30.8,19.2,0.0
2021-03-13,31.0,19.0,0.0
2021-03-14,31.2,19.0,0.0
2021-03-15,31.0,19.2,T
2021-03-16,30.6,19.8,T
2021-03-17,31.0,19.8,0.0
2021-03-18,30.8,19.6,0.0
2021-03-19,31.2,19.4,0.0
2021-03-20,30.8,19.2,0.0
2021-03-21,31.0,19.4,0.0
2021-03-22,30.8,19.0,0.0
2021-03-23,31.0,19.0,0.0
2021-03-24,31.2,18.9,0.0
2021-03-25,30.6,18.6,0.0
2021-03-26,30.4,18.2,0.0
2021-03-27,30.4,18.8,0.0
2021-03-28,30.6,18.6,0.0
2021-03-29,30.4,18.8,1.0
2021-03-30,30.6,18.2,0.0
2021-03-31,30.8,18.2,0.0
2021-04-01,30.9,18.4,0.0
2021-04-02,30.6,18.0,0.4
2021-04-03,30.8,18.0,4.6
2021-04-04,31.0,17.9,0.0
2021-04-05,30.8,17.8,T
2021-04-06,30.6,17.6,0.0
2021-04-07,30.8,17.4,1.2
2021-04-08,30.6,17.0,0.0
2021-04-09,30.0,16.8,0.0
2021-04-10,29.4,17.2,0.0
2021-04-11,30.6,17.0,0.0
2021-04-12,31.0,16.8,0.0
2021-04-13,28.8,17.0,0.0
2021-04-14,28.8,18.8,1.4
2021-04-15,30.0,18.6,0.0
2021-04-16,29.6,18.8,0.0
2021-04-17,30.4,18.8,0.0
2021-04-18,30.0,18.4,0.8
2021-04-19,31.0,18.2,0.0
2021-04-20,31.2,18.0,0.0
2021-04-21,31.0,18.2,0.0
2021-04-22,31.2,18.0,0.0
2021-04-23,31.2,17.9,0.0
2021-04-24,30.6,17.8,0.0
2021-04-25,31.2,17.8,0.0
2021-04-26,30.0,17.6,0.0
2021-04-27,29.6,17.0,0.0
2021-04-28,27.8,17.4,0.0
2021-04-29,29.0,17.6,0.0
2021-04-30,29.0,16.6,0.0
2021-05-01,29.6,16.2,0.0
2021-05-02,30.4,16.4,0.0
2021-05-03,30.6,16.2,0.0
2021-05-04,30.4,16.0,0.0
2021-05-05,30.2,16.2,0.0
2021-05-06,30.4,16.0,0.0
2021-05-07,30.6,16.0,0.0
2021-05-08,29.6,15.8,0.0
2021-05-09,29.0,16.2,0.0
2021-05-10,29.2,16.2,0.0
2021-05-11,28.8,16.4,0.0
2021-05-12,28.6,16.9,0.0
2021-05-13,28.8,16.8,0.0
2021-05-14,28.6,16.4,0.0
2021-05-15,28.8,16.6,0.8
2021-05-16,28.6,16.6,T
2021-05-17,28.8,16.4,0.0
2021-05-18,28.8,16.2,0.0
2021-05-19,28.6,16.4,0.0
2021-05-20,28.8,16.2,0.0
2021-05-21,28.9,16.2,0.0
2021-05-22,28.6,16.4,0.0
2021-05-23,28.8,16.0,0.0
2021-05-24,28.9,16.2,0.0
2021-05-25,28.8,16.0,0.0
2021-05-26,29.6,16.2,0.0
2021-05-27,29.4,16.0,0.0
2021-05-28,29.2,16.2,0.0
2021-05-29,29.6,16.0,0.0
2021-05-30,29.6,16.0,0.0
2021-05-31,29.4,15.8,0.0
2021-06-01,29.6,16.8,0.0
2021-06-02,29.4,16.9,0.0
2021-06-03,29.6,16.8,0.0
2021-06-04,29.4,16.4,0.0
2021-06-05,29.6,16.6,0.0
2021-06-06,29.4,16.4,0.0
2021-06-07,29.2,16.2,T
2021-06-08,27.6,16.2,0.0
2021-06-09,27.4,16.4,0.0
2021-06-10,27.6,16.0,0.0
2021-06-11,27.2,16.0,0.0
2021-06-12,27.4,16.4,0.0
2021-06-13,27.4,16.0,0.0
2021-06-14,27.2,16.2,0.0
2021-06-15,27.4,16.0,0.0
2021-06-16,28.2,16.6,0.0
2021-06-17,28.4,16.0,0.0
2021-06-18,28.2,15.8,0.0
2021-06-19,28.4,15.9,0.0
2021-06-20,28.0,16.2,0.0
2021-06-21,28.2,18.2,0.0
2021-06-22,28.4,16.6,0.0
2021-06-23,28.2,16.4,0.0
2021-06-24,28.6,16.8,0.0
2021-06-25,28.4,16.0,0.0
2021-06-26,28.4,16.6,0.0
2021-06-27,28.2,16.0,0.0
2021-06-28,28.4,15.8,0.0
2021-06-29,28.2,15.8,0.0
2021-06-30,28.4,16.0,T
2021-07-01,28.4,15.8,0.0
2021-07-02,28.2,16.6,0.0
2021-07-03,28.0,15.2,0.0
2021-07-04,27.6,15.0,0.0
2021-07-05,27.4,15.4,0.0
2021-07-06,27.2,15.2,0.0
2021-07-07,27.0,15.2,0.0
2021-07-08,27.6,15.4,0.0
2021-07-09,26.8,15.0,T
2021-07-10,26.8,14.9,0.0
2021-07-11,26.9,15.0,0.0
2021-07-12,24.8,16.2,T
2021-07-13,26.6,16.8,0.0
2021-07-14,26.4,16.2,0.0
2021-07-15,26.6,16.4,0.0
2021-07-16,26.4,16.2,0.1
2021-07-17,26.6,16.0,0.0
2021-07-18,27.6,16.2,0.0
2021-07-19,27.4,15.9,0.0
2021-07-20,27.8,16.0,0.0
2021-07-21,27.6,15.8,0.0
2021-07-22,27.8,15.9,0.0
2021-07-23,27.6,15.6,0.0
2021-07-24,27.9,16.0,0.0
2021-07-25,28.2,15.4,0.0
2021-07-26,27.9,15.6,0.0
2021-07-27,27.8,15.4,0.0
2021-07-28,27.9,15.2,0.0
2021-07-29,28.0,15.4,0.0
2021-07-30,27.9,15.0,0.0
2021-07-31,28.0,15.0,0.0
2021-08-01,27.9,15.4,0.0
2021-08-02,28.0,15.0,0.0
2021-08-03,27.8,14.9,0.0
2021-08-04,27.6,15.0,0.0
2021-08-05,28.0,14.9,0.0
2021-08-06,27.9,14.8,0.0
2021-08-07,28.0,14.6,0.0
2021-08-08,27.9,14.4,0.0
2021-08-09,27.8,14.8,0.0
2021-08-10,28.0,14.6,0.0
2021-08-11,28.0,14.8,0.0
2021-08-12,27.9,14.4,0.0
2021-08-13,28.0,14.6,0.0
2021-08-14,27.9,14.8,0.0
2021-08-15,28.0,14.8,0.0
2021-08-16,28.0,14.6,0.0
2021-08-17,28.2,14.6,0.0
2021-08-18,28.2,14.8,0.0
2021-08-19,28.3,14.4,0.0
2021-08-20,28.0,14.8,0.0
2021-08-21,28.2,14.4,0.0
2021-08-22,28.0,14.8,0.0
2021-08-23,28.4,14.2,T
2021-08-24,28.2,14.4,0.0
2021-08-25,28.0,14.2,0.0
2021-08-26,27.6,14.4,0.0
2021-08-27,28.4,14.2,0.0
2021-08-28,28.2,14.6,0.0
2021-08-29,28.4,14.4,1.8
2021-08-30,28.4,14.2,0.0
2021-08-31,28.4,14.0,0.0
2021-09-01,28.2,14.2,0.0
2021-09-02,28.4,14.0,0.0
2021-09-03,28.4,14.6,0.0
2021-09-04,28.2,13.9,S/D
2021-09-05,28.0,13.8,0.8
2021-09-06,28.4,13.8,0.0
2021-09-07,28.2,14.0,0.0
2021-09-08,28.4,13.8,0.0
2021-09-09,28.0,13.9,0.0
2021-09-10,28.4,14.0,0.1
2021-09-11,28.2,13.8,0.0
2021-09-12,28.4,14.0,0.0
2021-09-13,28.2,14.2,0.0
2021-09-14,28.2,14.6,0.0
2021-09-15,28.0,15.2,0.0
2021-09-16,28.2,14.8,0.0
2021-09-17,28.6,15.4,0.0
2021-09-18,28.2,15.6,0.0
2021-09-19,28.4,15.4,0.0
2021-09-20,28.4,15.2,0.0
2021-09-21,28.2,15.0,0.0
2021-09-22,28.4,15.0,0.0
2021-09-23,28.6,14.9,0.0
2021-09-24,28.6,15.2,0.0
2021-09-25,28.4,14.8,0.0
2021-09-26,28.4,15.0,0.0
2021-09-27,28.6,14.6,0.0
2021-09-28,28.8,14.4,0.0
2021-09-29,28.8,14.4,0.0
2021-09-30,28.6,14.2,0.0
2021-10-01,30.0,14.2,0.0
2021-10-02,29.9,14.0,0.0
2021-10-03,30.2,14.0,0.0
2021-10-04,30.4,14.6,6.0
2021-10-05,30.0,14.2,1.1
2021-10-06,30.6,14.4,3.8
2021-10-07,30.4,14.2,0.0
2021-10-08,30.2,14.4,0.0
2021-10-09,30.4,13.8,0.0
2021-10-10,30.0,13.9,0.0
2021-10-11,30.0,14.0,0.0
2021-10-12,30.4,14.2,0.0
2021-10-13,30.2,14.0,0.0
2021-10-14,30.2,13.9,0.0
2021-10-15,30.4,14.0,1.3
2021-10-16,30.0,13.8,0.9
2021-10-17,30.2,13.6,0.0
2021-10-18,30.4,14.0,0.0
2021-10-19,30.2,13.8,4.4
2021-10-20,30.0,14.0,0.0
2021-10-21,30.4,14.4,0.0
2021-10-22,30.6,14.8,0.0
2021-10-23,30.2,15.0,0.0
2021-10-24,30.4,14.8,0.0
2021-10-25,30.2,14.6,0.0
2021-10-26,30.2,15.0,0.0
2021-10-27,30.4,15.2,0.0
2021-10-28,30.2,14.8,0.0
2021-10-29,30.2,14.6,0.0
2021-10-30,30.6,14.8,0.0
2021-10-31,30.4,14.6,0.0
2021-11-01,31.2,14.0,0.0
2021-11-02,31.2,14.2,0.0
2021-11-03,30.0,14.6,0.0
2021-11-04,31.0,14.8,0.0
2021-11-05,31.4,14.4,0.0
2021-11-06,31.2,14.4,0.0
2021-11-07,31.0,14.2,0.0
2021-11-08,31.4,14.4,0.0
2021-11-09,31.2,14.2,0.0
2021-11-10,31.6,14.6,0.0
2021-11-11,31.2,14.4,0.0
2021-11-12,31.4,14.6,0.0
2021-11-13,31.0,14.2,0.0
