Fecha,Tmax,Tmin,PP
2022-01-01,20.1,11.8,2.2
2022-01-02,19.0,10.8,0.0
2022-01-03,22.1,11.5,0.0
2022-01-04,17.3,11.2,0.6
2022-01-05,21.9,11.9,0.0
2022-01-06,20.7,12.0,0.2
2022-01-07,22.4,12.3,0.0
2022-01-08,21.6,11.3,0.0
2022-01-09,17.9,10.4,0.0
2022-01-10,21.6,10.2,0.0
2022-01-11,21.9,11.0,0.0
2022-01-12,21.7,11.1,0.0
2022-01-13,18.9,11.7,1.6
2022-01-14,12.5,9.7,5.4
2022-01-15,13.9,10.2,7.0
2022-01-16,15.4,10.2,0.0
2022-01-17,22.4,12.3,4.6
2022-01-18,19.8,11.9,0.4
2022-01-19,20.6,10.3,1.2
2022-01-20,19.1,12.3,0.0
2022-01-21,21.6,12.7,1.4
2022-01-22,18.8,12.4,4.8
2022-01-23,17.3,11.7,0.4
2022-01-24,18.1,11.6,3.8
2022-01-25,18.6,12.1,14.4
2022-01-26,18.1,11.6,3.8
2022-01-27,17.6,11.1,5.6
2022-01-28,13.7,10.7,14.6
2022-01-29,17.1,10.1,0.6
2022-01-30,16.6,10.4,0.0
2022-01-31,18.1,7.8,0.0
2022-02-01,15.3,8.3,0.0
2022-02-02,16.8,8.7,0.0
2022-02-03,19.2,10.5,0.0
2022-02-04,18.5,12.8,0.2
2022-02-05,18.5,10.9,0.0
2022-02-06,18.0,11.1,2.2
2022-02-07,21.2,9.8,2.0
2022-02-08,15.1,11.4,5.8
2022-02-09,17.4,11.6,0.8
2022-02-10,17.7,11.4,13.2
2022-02-11,18.4,11.4,0.4
2022-02-12,13.5,10.8,8.8
2022-02-13,16.8,11.8,0.8
2022-02-14,16.0,11.5,0.0
2022-02-15,16.9,11.6,0.2
2022-02-16,20.1,11.5,6.0
2022-02-17,17.5,12.1,1.0
2022-02-18,17.3,11.9,0.6
2022-02-19,20.4,11.5,0.0
2022-02-20,20.7,11.7,0.0
2022-02-21,14.1,8.8,0.6
2022-02-22,13.4,8.9,0.4
2022-02-23,14.2,10.5,1.2
2022-02-24,13.5,11.0,1.2
2022-02-25,16.4,11.2,2.0
2022-02-26,18.0,11.7,4.6
2022-02-27,17.2,11.5,5.0
2022-02-28,13.1,11.1,6.0
2022-03-01,16.2,10.6,4.6
2022-03-02,17.1,11.6,3.8
2022-03-03,20.6,11.0,11.2
2022-03-04,17.1,10.9,2.6
2022-03-05,20.0,11.5,0.0
2022-03-06,17.2,10.0,0.2
2022-03-07,17.5,10.0,4.0
2022-03-08,17.2,10.4,0.0
2022-03-09,18.6,11.2,12.0
2022-03-10,18.3,11.2,1.4
2022-03-11,17.8,11.1,0.6
