Fecha,Tmax,Tmin,PP
2023-09-12,-999,-999,-999
2023-09-13,-999,-999,-999
2023-09-14,-999,-999,-999
2023-09-15,-999,-999,-999
2023-09-16,-999,-999,-999
2023-09-17,-999,-999,-999
2023-09-18,-999,-999,-999
2023-09-19,-999,-999,-999
2023-09-20,-999,-999,-999
2023-09-21,-999,-999,-999
2023-09-22,-999,-999,-999
2023-09-23,-999,-999,-999
2023-09-24,-999,-999,-999
2023-09-25,-999,-999,-999
2023-09-26,-999,-999,-999
2023-09-27,-999,-999,-999
2023-09-28,-999,-999,-999
2023-09-29,-999,-999,-999
2023-09-30,-999,-999,-999
2023-10-01,-999,-999,-999
2023-10-02,-999,-999,-999
2023-10-03,-999,-999,-999
2023-10-04,-999,-999,-999
2023-10-05,-999,-999,-999
2023-10-06,-999,-999,-999
2023-10-07,-999,-999,-999
2023-10-08,-999,-999,-999
2023-10-09,-999,-999,-999
2023-10-10,-999,-999,-999
2023-10-11,-999,-999,-999
2023-10-12,-999,-999,-999
2023-10-13,-999,-999,-999
2023-10-14,-999,-999,-999
2023-10-15,-999,-999,-999
2023-10-16,-999,-999,-999
2023-10-17,-999,-999,-999
2023-10-18,-999,-999,-999
2023-10-19,-999,-999,-999
2023-10-20,-999,-999,-999
2023-10-21,-999,-999,-999
2023-10-22,-999,-999,-999
2023-10-23,-999,-999,-999
2023-10-24,-999,-999,-999
2023-10-25,-999,-999,-999
2023-10-26,-999,-999,-999
