Fecha,Tmax,Tmin,PP
2021-01-01,19.5,7.3,0.0
2021-01-02,21.1,8.9,7.1
2021-01-03,22.7,8.5,8.8
2021-01-04,21.3,8.9,0.0
2021-01-05,19.9,8.5,0.0
2021-01-06,20.4,7.5,0.0
2021-01-07,21.7,7.1,2.9
2021-01-08,21.7,7.1,0.0
2021-01-09,22.7,6.7,2.5
2021-01-10,22.8,7.1,0.0
2021-01-11,21.7,6.7,0.0
2021-01-12,22.1,6.9,16.0
2021-01-13,20.9,7.1,14.7
2021-01-14,22.7,5.1,30.0
2021-01-15,20.7,6.1,32.0
2021-01-16,19.9,6.1,1.6
2021-01-17,20.5,7.1,1.1
2021-01-18,19.9,10.5,3.7
2021-01-19,21.8,10.0,11.2
2021-01-20,22.1,7.0,5.2
2021-01-21,22.7,9.9,2.3
2021-01-22,20.8,9.1,0.0
2021-01-23,22.1,10.5,0.0
2021-01-24,23.4,7.7,0.0
2021-01-25,23.8,7.9,0.0
2021-01-26,22.7,9.9,3.9
2021-01-27,20.5,10.1,5.5
2021-01-28,21.1,10.1,1.9
2021-01-29,20.7,9.9,3.5
2021-01-30,22.7,10.7,0.0
2021-01-31,22.5,10.1,0.0
2021-02-01,23.5,9.7,0.0
2021-02-02,23.9,10.1,0.0
2021-02-03,22.5,7.5,0.0
2021-02-04,21.9,7.1,3.2
2021-02-05,21.1,10.5,0.0
2021-02-06,23.5,9.9,0.0
2021-02-07,20.5,8.7,2.5
2021-02-08,21.8,8.7,0.0
2021-02-09,23.5,9.1,0.0
2021-02-10,20.5,6.1,0.0
2021-02-11,22.8,8.5,0.0
2021-02-12,21.1,7.7,0.0
2021-02-13,22.5,8.5,0.0
2021-02-14,23.5,8.8,0.0
2021-02-15,23.8,9.9,0.0
2021-02-16,22.8,10.5,0.0
2021-02-17,22.4,8.5,0.0
2021-02-18,23.5,6.1,0.0
2021-02-19,23.5,5.1,0.0
2021-02-20,24.8,3.5,0.0
2021-02-21,20.5,6.1,0.0
2021-02-22,21.7,6.1,0.0
2021-02-23,21.7,8.9,0.0
2021-02-24,19.9,9.7,0.0
2021-02-25,18.4,8.9,0.0
2021-02-26,16.5,7.7,0.0
2021-02-27,22.5,9.7,2.7
2021-02-28,19.9,9.7,23.7
2021-03-01,20.9,8.9,39.6
2021-03-02,19.9,8.5,18.6
2021-03-03,19.9,9.6,14.6
2021-03-04,20.6,8.3,47.4
2021-03-05,19.8,10.2,20.8
2021-03-06,21.3,8.3,0.0
2021-03-07,18.7,9.9,1.9
2021-03-08,22.4,10.3,34.4
2021-03-09,17.7,13.1,36.2
2021-03-10,16.7,8.7,28.2
2021-03-11,20.5,9.9,18.5
2021-03-12,19.9,8.0,10.3
2021-03-13,18.9,10.4,0.0
2021-03-14,16.5,11.7,0.0
2021-03-15,19.7,12.3,15.3
2021-03-16,19.9,6.9,20.0
2021-03-17,17.7,7.7,22.2
2021-03-18,20.5,9.9,1.3
2021-03-19,19.3,8.2,0.0
2021-03-20,21.7,8.8,0.0
2021-03-21,19.9,9.5,1.1
2021-03-22,16.1,10.3,1.1
2021-03-23,17.3,9.8,22.9
2021-03-24,19.9,10.6,2.1
2021-03-25,18.3,8.1,23.1
2021-03-26,19.7,7.1,23.1
2021-03-27,18.7,7.7,27.3
2021-03-28,22.3,9.9,0.0
2021-03-29,20.5,10.3,0.0
2021-03-30,21.5,8.1,0.0
2021-03-31,21.7,9.1,0.0
2021-04-01,20.1,7.1,12.9
2021-04-02,20.9,8.3,2.0
2021-04-03,21.7,10.1,1.1
2021-04-04,22.5,7.4,0.0
2021-04-05,22.5,8.4,3.2
2021-04-06,22.5,9.9,1.1
2021-04-07,21.8,6.5,0.0
2021-04-08,21.8,6.1,0.0
2021-04-09,21.5,10.9,0.0
2021-04-10,22.1,7.1,0.0
2021-04-11,22.5,8.1,0.0
2021-04-12,23.5,8.7,0.0
2021-04-13,21.7,8.7,0.0
2021-04-14,21.5,8.7,0.0
2021-04-15,22.3,7.1,0.0
2021-04-16,21.8,8.7,0.0
2021-04-17,22.5,7.5,0.0
2021-04-18,22.5,7.1,0.0
2021-04-19,21.5,9.1,0.0
2021-04-20,22.9,8.5,0.0
2021-04-21,21.8,7.5,0.0
2021-04-22,22.5,7.7,0.0
2021-04-23,20.5,8.5,1.1
2021-04-24,21.5,7.7,0.0
2021-04-25,22.8,6.1,0.0
2021-04-26,21.5,8.1,2.4
2021-04-27,22.8,6.1,0.0
2021-04-28,20.5,7.1,0.0
2021-04-29,21.5,10.1,0.0
2021-04-30,21.8,8.5,0.0
2021-05-01,22.5,7.1,0.0
2021-05-02,22.7,8.7,0.0
2021-05-03,22.7,7.1,2.5
2021-05-04,20.7,7.5,0.0
2021-05-05,21.5,8.9,0.0
2021-05-06,21.1,7.9,0.0
2021-05-07,22.7,9.8,0.0
2021-05-08,23.5,9.9,0.0
2021-05-09,22.7,8.2,0.0
2021-05-10,20.4,8.7,0.0
2021-05-11,21.8,7.5,0.0
2021-05-12,19.9,7.5,0.0
2021-05-13,20.5,7.1,0.0
2021-05-14,21.1,9.9,0.0
2021-05-15,22.7,8.1,1.1
2021-05-16,20.5,7.3,0.0
2021-05-17,20.5,9.5,2.5
2021-05-18,21.5,8.3,2.7
2021-05-19,22.5,6.4,0.0
2021-05-20,22.5,8.1,0.0
2021-05-21,22.5,7.5,0.0
2021-05-22,20.4,7.5,0.0
2021-05-23,20.5,7.2,0.0
2021-05-24,21.5,6.1,0.0
2021-05-25,21.5,6.1,0.0
2021-05-26,19.9,7.1,0.0
2021-05-27,23.5,7.1,0.0
2021-05-28,21.5,7.1,0.0
2021-05-29,23.5,6.5,0.0
2021-05-30,22.8,6.7,0.0
2021-05-31,20.5,6.5,0.0
2021-06-01,20.5,6.1,0.0
2021-06-02,22.5,6.5,0.0
2021-06-03,21.6,6.1,0.0
2021-06-04,22.6,6.1,0.0
2021-06-05,22.5,5.1,0.0
2021-06-06,21.1,5.5,0.0
2021-06-07,22.5,6.6,0.8
2021-06-08,20.5,6.5,0.0
2021-06-09,21.8,5.5,0.0
2021-06-10,21.6,5.5,0.0
2021-06-11,22.5,6.1,0.0
2021-06-12,21.6,9.9,0.0
2021-06-13,19.9,9.7,0.0
2021-06-14,21.5,5.5,0.0
2021-06-15,19.7,9.9,0.0
2021-06-16,20.5,8.2,0.5
2021-06-17,19.9,6.5,0.0
2021-06-18,21.5,5.5,0.0
2021-06-19,20.5,6.1,0.0
2021-06-20,20.5,5.5,0.3
2021-06-21,21.5,6.5,0.0
2021-06-22,22.7,4.3,0.0
2021-06-23,22.5,5.6,0.0
2021-06-24,22.5,4.5,0.0
2021-06-25,23.5,4.3,0.0
2021-06-26,21.5,6.1,0.0
2021-06-27,22.7,8.5,0.0
2021-06-28,21.5,4.3,0.0
2021-06-29,22.5,5.5,0.5
2021-06-30,19.9,9.9,0.0
2021-07-01,21.8,4.3,0.0
2021-07-02,22.4,3.3,0.0
2021-07-03,23.5,3.5,0.0
2021-07-04,22.9,3.1,0.0
2021-07-05,23.5,3.1,0.0
2021-07-06,22.5,4.5,0.0
2021-07-07,23.4,3.3,0.0
2021-07-08,22.7,2.9,0.0
2021-07-09,19.9,8.5,0.0
2021-07-10,20.4,8.7,0.0
2021-07-11,21.8,7.7,0.0
2021-07-12,20.5,7.7,0.0
2021-07-13,21.5,8.5,0.0
2021-07-14,21.7,9.9,0.0
2021-07-15,19.9,5.5,0.0
2021-07-16,22.5,6.6,0.0
2021-07-17,21.5,7.7,0.0
2021-07-18,21.8,8.3,0.0
2021-07-19,22.6,8.4,0.0
2021-07-20,22.5,5.5,0.0
2021-07-21,22.4,7.5,0.0
2021-07-22,22.4,4.4,0.0
2021-07-23,19.9,5.5,0.0
2021-07-24,23.1,3.3,0.0
2021-07-25,23.5,5.5,0.0
2021-07-26,18.5,6.3,0.0
2021-07-27,20.5,4.3,0.0
2021-07-28,20.5,8.8,0.0
2021-07-29,21.5,5.5,0.0
2021-07-30,21.5,7.4,0.0
2021-07-31,22.5,8.8,0.0
2021-08-01,20.5,5.5,0.0
2021-08-02,22.5,6.1,0.0
2021-08-03,23.5,6.6,0.0
2021-08-04,19.9,3.5,0.0
2021-08-05,23.4,3.1,0.0
2021-08-06,23.5,2.9,0.0
2021-08-07,24.3,3.1,0.0
2021-08-08,22.4,4.1,0.0
2021-08-09,22.5,5.5,0.0
2021-08-10,23.5,5.5,0.0
2021-08-11,20.4,8.5,0.0
2021-08-12,20.7,5.5,0.0
2021-08-13,20.9,8.1,0.0
2021-08-14,21.5,5.5,0.0
2021-08-15,22.1,5.5,0.0
2021-08-16,22.5,4.1,0.0
2021-08-17,22.4,6.5,1.1
2021-08-18,20.5,4.3,0.0
2021-08-19,21.8,6.5,0.0
2021-08-20,22.7,6.5,0.0
2021-08-21,20.7,4.5,0.0
2021-08-22,21.8,6.5,0.0
2021-08-23,22.5,7.7,0.0
2021-08-24,23.5,5.5,2.1
2021-08-25,21.8,6.5,0.0
2021-08-26,22.7,6.3,0.0
2021-08-27,20.7,4.3,0.0
2021-08-28,20.9,6.5,0.5
2021-08-29,17.5,6.4,1.1
2021-08-30,21.5,5.5,0.0
2021-08-31,22.4,5.8,0.0
2021-09-01,21.5,3.3,0.0
2021-09-02,21.8,4.6,0.0
2021-09-03,21.6,3.3,0.0
2021-09-04,22.5,5.4,0.0
2021-09-05,22.5,4.5,1.1
2021-09-06,20.5,4.3,0.0
2021-09-07,22.5,5.5,0.0
2021-09-08,22.7,5.5,1.6
2021-09-09,20.5,8.3,0.0
2021-09-10,20.4,5.5,3.2
2021-09-11,19.9,6.6,1.1
2021-09-12,21.5,5.5,0.0
2021-09-13,20.7,5.3,0.0
2021-09-14,19.9,5.5,1.1
2021-09-15,23.7,6.5,0.0
2021-09-16,19.5,10.5,3.2
2021-09-17,20.7,7.5,0.0
2021-09-18,21.2,6.1,0.0
2021-09-19,22.3,8.5,0.0
2021-09-20,21.5,5.5,0.0
2021-09-21,22.5,9.9,0.0
2021-09-22,19.5,10.1,0.0
2021-09-23,19.5,5.5,0.0
2021-09-24,22.4,6.6,0.0
2021-09-25,20.5,8.1,0.0
2021-09-26,22.4,8.7,0.0
2021-09-27,23.8,9.1,0.0
2021-09-28,22.5,6.6,0.0
2021-09-29,19.5,6.1,2.4
2021-09-30,20.5,6.5,0.0
2021-10-01,20.5,8.1,0.5
2021-10-02,20.5,6.9,2.5
2021-10-03,19.5,5.5,0.3
2021-10-04,19.8,7.1,3.0
2021-10-05,19.9,6.5,6.0
2021-10-06,18.4,5.5,3.9
2021-10-07,20.5,5.3,0.0
2021-10-08,21.2,7.7,0.0
2021-10-09,20.5,6.4,0.0
2021-10-10,21.3,6.1,0.0
2021-10-11,21.5,5.5,0.0
2021-10-12,23.5,7.1,0.0
2021-10-13,22.5,3.3,0.0
2021-10-14,22.5,5.5,4.6
2021-10-15,21.7,5.5,2.2
2021-10-16,22.4,5.3,6.7
2021-10-17,22.8,5.5,1.0
2021-10-18,20.7,8.9,3.6
2021-10-19,20.5,5.5,4.3
