Fecha,Tmax,Tmin,PP
2021-01-01,14.2,7.2,5.5
2021-01-02,15.4,8.8,0.5
2021-01-03,16.2,7.2,6.0
2021-01-04,14.8,7.8,0.0
2021-01-05,15.6,4.8,0.0
2021-01-06,14.6,5.0,4.1
2021-01-07,12.0,4.2,3.8
2021-01-08,14.0,4.6,0.5
2021-01-09,14.0,8.7,10.8
2021-01-10,17.8,7.8,0.0
2021-01-11,17.2,4.2,0.0
2021-01-12,16.6,5.6,1.8
2021-01-13,14.0,6.8,3.5
2021-01-14,15.6,8.0,7.0
2021-01-15,12.8,8.8,15.7
2021-01-16,13.2,8.8,0.6
2021-01-17,15.4,8.6,1.0
2021-01-18,13.4,9.0,0.3
2021-01-19,15.6,7.8,5.2
2021-01-20,11.4,7.8,4.3
2021-01-21,13.0,8.2,5.7
2021-01-22,15.6,7.2,0.9
2021-01-23,15.0,7.6,0.0
2021-01-24,14.2,7.4,2.5
2021-01-25,15.8,8.8,3.5
2021-01-26,16.0,8.8,5.0
2021-01-27,12.6,7.4,11.6
2021-01-28,14.8,8.4,0.6
2021-01-29,15.2,8.2,0.0
2021-01-30,14.6,6.0,0.0
2021-01-31,17.2,8.0,0.0
2021-02-01,18.2,5.0,0.0
2021-02-02,17.6,5.0,0.0
2021-02-03,17.6,5.2,0.0
2021-02-04,18.0,6.0,23.2
2021-02-05,17.4,8.0,7.6
2021-02-06,15.2,9.4,0.0
2021-02-07,13.4,9.4,0.7
2021-02-08,16.2,6.0,0.1
2021-02-09,19.2,6.6,0.0
2021-02-10,17.8,4.8,0.0
2021-02-11,16.8,4.2,0.0
2021-02-12,16.8,7.0,0.3
2021-02-13,14.2,9.0,0.4
2021-02-14,18.2,6.2,0.0
2021-02-15,17.0,5.0,0.0
2021-02-16,15.8,4.2,10.8
2021-02-17,15.0,4.0,1.7
2021-02-18,17.2,4.2,0.0
2021-02-19,19.0,5.2,0.0
2021-02-20,19.2,4.2,0.0
2021-02-21,16.8,2.2,0.4
2021-02-22,17.8,6.6,0.0
2021-02-23,15.0,8.0,0.1
2021-02-24,18.0,8.6,9.4
2021-02-25,18.4,9.0,0.0
2021-02-26,17.0,5.0,1.3
2021-02-27,16.4,6.8,28.5
2021-02-28,13.8,9.2,8.0
2021-03-01,13.8,7.6,17.6
2021-03-02,14.2,7.6,8.2
2021-03-03,14.8,7.2,4.8
2021-03-04,13.8,6.0,8.6
2021-03-05,16.0,7.2,11.8
2021-03-06,15.6,5.6,1.0
2021-03-07,13.6,7.2,8.6
2021-03-08,16.2,8.0,40.8
2021-03-09,13.0,8.6,42.7
2021-03-10,16.6,7.0,2.5
2021-03-11,15.2,7.0,14.4
2021-03-12,15.0,7.8,0.7
2021-03-13,16.4,3.8,1.3
2021-03-14,16.4,3.8,17.0
2021-03-15,14.2,6.2,11.6
2021-03-16,11.4,6.6,6.2
2021-03-17,14.2,7.4,14.1
2021-03-18,16.0,4.6,3.7
2021-03-19,14.2,6.6,0.3
2021-03-20,16.6,3.4,0.0
2021-03-21,13.4,4.4,0.1
2021-03-22,16.2,4.2,1.8
2021-03-23,16.6,4.0,8.6
2021-03-24,14.8,5.6,1.5
2021-03-25,16.2,5.0,0.8
2021-03-26,14.6,5.4,10.0
2021-03-27,16.2,8.4,4.3
2021-03-28,17.6,8.8,0.0
2021-03-29,15.8,9.4,2.7
2021-03-30,17.0,9.0,0.0
2021-03-31,18.4,7.0,0.0
2021-04-01,15.8,7.0,11.5
2021-04-02,16.8,8.2,3.1
2021-04-03,16.4,9.8,4.7
2021-04-04,15.4,8.4,0.0
2021-04-05,15.8,6.8,7.3
2021-04-06,17.4,7.0,0.4
2021-04-07,16.0,6.8,14.8
2021-04-08,16.8,7.4,0.0
2021-04-09,17.4,6.6,3.3
2021-04-10,15.8,8.2,13.7
2021-04-11,15.2,6.0,0.0
2021-04-12,17.6,6.6,0.0
2021-04-13,17.2,6.0,0.0
2021-04-14,18.8,6.4,1.1
2021-04-15,19.0,7.6,0.0
2021-04-16,16.4,5.6,0.7
2021-04-17,17.6,4.8,0.0
2021-04-18,15.2,5.6,1.8
2021-04-19,15.6,6.0,1.1
2021-04-20,16.0,4.0,0.2
2021-04-21,17.0,4.8,1.8
2021-04-22,17.0,5.8,3.3
2021-04-23,16.4,7.0,8.5
2021-04-24,14.8,6.4,0.0
2021-04-25,16.0,7.0,0.7
2021-04-26,16.4,8.4,8.7
2021-04-27,17.2,8.2,0.0
2021-04-28,17.0,5.6,0.0
2021-04-29,16.2,4.8,0.3
2021-04-30,14.8,6.0,0.7
2021-05-01,14.6,4.8,2.7
2021-05-02,15.8,6.2,9.6
2021-05-03,13.4,5.2,15.3
2021-05-04,16.0,6.0,0.0
2021-05-05,16.8,6.2,6.3
2021-05-06,17.0,5.0,4.8
2021-05-07,15.2,4.8,1.9
2021-05-08,16.6,6.6,0.8
2021-05-09,18.2,5.6,0.0
2021-05-10,16.6,5.8,0.0
2021-05-11,15.6,3.8,0.0
2021-05-12,15.8,3.6,0.0
2021-05-13,15.8,5.0,0.0
2021-05-14,17.0,5.6,0.4
2021-05-15,14.4,5.8,13.5
2021-05-16,14.8,8.0,2.5
2021-05-17,15.0,6.6,11.8
2021-05-18,15.6,7.6,4.0
2021-05-19,15.2,7.0,0.0
2021-05-20,17.2,4.2,0.0
2021-05-21,18.0,4.8,0.0
2021-05-22,15.4,8.6,1.4
2021-05-23,15.0,6.6,1.4
2021-05-24,16.2,6.4,5.1
2021-05-25,15.0,7.8,0.0
2021-05-26,18.0,6.0,0.0
2021-05-27,17.0,3.6,0.0
2021-05-28,17.6,5.6,0.0
2021-05-29,16.4,3.8,0.0
2021-05-30,16.2,4.6,0.0
2021-05-31,14.2,7.0,0.4
2021-06-01,17.6,6.0,0.5
2021-06-02,16.4,6.4,2.5
2021-06-03,15.6,4.4,0.1
2021-06-04,14.0,5.2,0.0
2021-06-05,13.8,4.4,1.6
2021-06-06,13.6,6.0,10.7
2021-06-07,14.6,7.2,7.6
2021-06-08,13.6,7.4,7.9
2021-06-09,14.6,5.2,6.5
2021-06-10,17.6,5.4,3.4
2021-06-11,17.2,5.2,0.0
2021-06-12,17.4,4.2,1.7
2021-06-13,13.6,8.0,5.4
2021-06-14,16.0,3.8,0.1
2021-06-15,15.6,3.8,0.5
2021-06-16,14.0,3.8,7.1
2021-06-17,15.0,4.2,0.1
2021-06-18,17.0,4.8,0.0
2021-06-19,15.4,4.8,0.0
2021-06-20,14.2,6.0,0.0
2021-06-21,16.2,4.6,0.0
2021-06-22,16.0,4.0,0.0
2021-06-23,17.2,2.8,0.0
2021-06-24,16.8,2.0,0.0
2021-06-25,16.6,2.0,0.0
2021-06-26,17.0,3.0,0.0
2021-06-27,15.0,2.8,7.3
2021-06-28,15.0,3.0,0.0
2021-06-29,14.8,4.0,6.8
2021-06-30,13.0,8.0,0.0
2021-07-01,15.2,5.0,0.0
2021-07-02,17.8,2.0,0.0
2021-07-03,17.4,1.0,0.0
2021-07-04,17.0,0.6,0.0
2021-07-05,15.6,0.0,0.0
2021-07-06,15.4,0.6,0.0
2021-07-07,17.2,1.0,0.0
2021-07-08,16.2,3.2,0.0
2021-07-09,13.6,4.0,0.0
2021-07-10,14.2,3.8,0.0
2021-07-11,17.8,5.0,0.0
2021-07-12,11.6,5.0,2.0
2021-07-13,15.6,3.6,0.0
2021-07-14,16.8,3.6,0.0
2021-07-15,16.0,2.8,0.0
2021-07-16,16.2,3.6,S/D
2021-07-17,15.2,6.6,0.3
2021-07-18,15.4,7.8,0.0
2021-07-19,17.8,6.8,0.0
2021-07-20,16.4,4.2,0.0
2021-07-21,15.6,5.8,0.0
2021-07-22,17.2,3.0,0.0
2021-07-23,19.0,4.0,0.0
2021-07-24,18.6,3.0,0.0
2021-07-25,17.6,2.6,0.0
2021-07-26,16.4,4.0,0.0
2021-07-27,13.8,4.2,0.0
2021-07-28,18.6,4.6,0.0
2021-07-29,16.2,7.2,0.0
2021-07-30,15.6,5.6,0.0
2021-07-31,16.8,7.0,0.0
2021-08-01,16.2,7.6,0.0
2021-08-02,17.0,5.6,0.0
2021-08-03,17.4,3.8,0.0
2021-08-04,16.6,4.0,0.0
2021-08-05,16.0,4.4,0.0
2021-08-06,16.8,2.0,0.0
2021-08-07,17.2,2.6,0.0
2021-08-08,17.2,2.6,0.0
2021-08-09,18.8,3.0,0.0
2021-08-10,17.6,5.8,0.0
2021-08-11,16.4,4.8,0.0
2021-08-12,16.4,6.0,0.0
2021-08-13,18.2,5.0,0.0
2021-08-14,16.0,8.6,4.6
2021-08-15,15.2,5.0,0.0
2021-08-16,16.2,4.4,0.0
2021-08-17,16.0,4.0,0.0
2021-08-18,18.4,4.6,0.0
2021-08-19,18.0,3.4,15.8
2021-08-20,16.4,5.0,0.0
2021-08-21,19.4,5.0,0.0
2021-08-22,17.8,4.9,0.0
2021-08-23,18.0,3.6,5.5
2021-08-24,16.8,5.8,8.3
2021-08-25,17.4,5.0,9.3
2021-08-26,16.2,7.8,0.2
2021-08-27,14.4,4.2,0.2
2021-08-28,15.4,6.0,0.3
2021-08-29,13.2,8.2,3.8
2021-08-30,15.2,5.4,10.2
2021-08-31,16.6,6.6,0.3
2021-09-01,18.8,5.6,0.0
2021-09-02,15.6,5.0,0.0
2021-09-03,17.6,5.0,7.6
2021-09-04,17.0,5.4,0.0
2021-09-05,19.0,5.6,1.1
2021-09-06,14.8,7.6,0.0
2021-09-07,14.8,6.0,0.0
2021-09-08,14.6,4.8,10.6
2021-09-09,14.4,7.0,1.0
2021-09-10,13.6,6.9,2.3
2021-09-11,12.6,8.2,10.0
2021-09-12,17.0,7.0,0.0
2021-09-13,16.2,6.2,0.3
2021-09-14,15.6,7.4,5.1
2021-09-15,16.0,5.8,0.0
2021-09-16,16.6,6.0,0.5
2021-09-17,16.8,7.0,0.0
2021-09-18,17.6,4.0,0.0
2021-09-19,16.0,4.4,0.0
2021-09-20,17.8,6.0,0.0
2021-09-21,18.0,4.8,0.0
2021-09-22,15.6,6.8,0.0
2021-09-23,17.0,6.6,0.0
2021-09-24,16.0,4.2,0.0
