Fecha,Tmax,Tmin,PP
2021-01-01,19.8,12.0,4.0
2021-01-02,19.2,13.5,0.0
2021-01-03,20.8,13.0,0.5
2021-01-04,19.6,12.5,0.0
2021-01-05,19.8,11.0,0.0
2021-01-06,17.6,11.2,0.0
2021-01-07,19.0,10.8,1.7
2021-01-08,17.8,12.0,9.0
2021-01-09,18.9,12.6,2.8
2021-01-10,20.2,12.4,1.2
2021-01-11,21.6,12.5,0.0
2021-01-12,19.6,11.2,0.8
2021-01-13,18.8,12.8,6.1
2021-01-14,18.2,12.2,2.9
2021-01-15,17.6,12.0,20.2
2021-01-16,16.8,12.8,8.8
2021-01-17,18.0,11.2,2.5
2021-01-18,18.0,12.6,3.1
2021-01-19,18.6,12.8,15.2
2021-01-20,17.2,12.2,5.6
2021-01-21,20.2,13.2,9.4
2021-01-22,19.2,12.2,1.0
2021-01-23,19.2,12.2,0.0
2021-01-24,18.8,12.5,10.4
2021-01-25,18.0,12.8,5.0
2021-01-26,18.8,13.2,1.8
2021-01-27,18.2,13.5,12.2
2021-01-28,20.2,12.6,1.1
2021-01-29,18.8,13.8,0.0
2021-01-30,18.6,12.2,1.2
2021-01-31,20.0,12.0,0.0
2021-02-01,22.0,11.8,0.0
2021-02-02,22.8,13.0,0.0
2021-02-03,21.0,12.2,1.0
2021-02-04,21.2,12.0,2.4
2021-02-05,18.2,13.0,13.0
2021-02-06,17.0,12.4,0.0
2021-02-07,21.0,12.5,0.0
2021-02-08,20.6,12.0,0.0
2021-02-09,22.2,13.4,0.0
2021-02-10,20.8,12.5,0.0
2021-02-11,21.0,11.0,0.0
2021-02-12,15.6,12.4,0.0
2021-02-13,21.0,13.6,0.0
2021-02-14,21.4,13.0,0.0
2021-02-15,21.0,11.6,3.2
2021-02-16,21.6,11.0,0.0
2021-02-17,22.6,11.4,0.0
2021-02-18,23.0,11.0,0.0
2021-02-19,22.4,11.5,0.0
2021-02-20,21.0,10.5,0.0
2021-02-21,20.8,10.0,0.0
2021-02-22,20.0,12.0,0.0
2021-02-23,17.6,11.6,0.0
2021-02-24,22.2,10.8,0.0
2021-02-25,21.0,13.0,0.0
2021-02-26,22.6,12.6,0.0
2021-02-27,22.0,13.2,1.2
2021-02-28,17.0,13.2,2.8
2021-03-01,18.0,12.5,3.5
2021-03-02,17.8,12.6,3.8
2021-03-03,18.2,12.0,37.8
2021-03-04,18.8,13.0,18.4
2021-03-05,18.8,12.5,11.2
2021-03-06,18.2,12.4,5.2
2021-03-07,18.0,12.6,21.6
2021-03-08,19.4,12.8,29.6
2021-03-09,17.6,13.0,36.6
2021-03-10,18.4,11.8,33.1
2021-03-11,20.2,11.8,30.0
2021-03-12,19.8,12.2,1.3
2021-03-13,19.6,12.5,0.0
2021-03-14,20.4,11.4,0.0
2021-03-15,17.2,12.4,4.6
2021-03-16,17.2,12.0,5.4
2021-03-17,19.4,12.5,4.5
2021-03-18,18.6,11.8,0.0
2021-03-19,19.2,12.4,0.0
2021-03-20,20.4,11.0,0.0
2021-03-21,18.0,11.4,0.0
2021-03-22,19.2,11.6,7.8
2021-03-23,20.0,12.2,0.0
2021-03-24,19.0,11.5,0.0
2021-03-25,20.6,11.2,0.0
2021-03-26,20.8,12.0,1.0
2021-03-27,18.4,12.5,1.1
2021-03-28,18.6,12.0,0.6
2021-03-29,17.6,12.6,4.4
